label_genus	median_relative_cov	bac_family2	bac_order	bac_phylum
Ktedonobacteraceae gen. sp.	0.312019690968017	Unknown	Ktedonobacterales	Chloroflexota
LB1R16	0.0758885596135625	LB1R16	Sphingomonadales	Proteobacteria
Leptolyngbya	0.0480818861730304	Leptolyngbya	Leptolyngbyales	Cyanobacteria
Leptolyngbyaceae gen. sp.	0.0884038406191509	Unknown	Leptolyngbyales	Cyanobacteria
Lichenihabitans	0.0767114470368961	Lichenihabitans	Rhizobiales	Proteobacteria
LMUY01	0.0594049158489375	LMUY01	Acetobacterales	Proteobacteria
Lysinimonas_A	0.0903795006635524	Lysinimonas_A	Actinomycetales	Actinobacteriota
Marisediminicola	2.1812967871774	Marisediminicola	Actinomycetales	Actinobacteriota
Massilia	0.0387031015668227	Massilia	Burkholderiales	Proteobacteria
Mesorhizobium_D	0.275041650812931	Mesorhizobium_D	Rhizobiales	Proteobacteria
Methylobacterium	0.0472743626911684	Methylobacterium	Rhizobiales	Proteobacteria
Microbacterium	0.0662195023135014	Microbacterium	Actinomycetales	Actinobacteriota
Motilibacteraceae gen. sp.	0.178832964611872	Unknown	RP-AC37	Actinobacteriota
Mucilaginibacter	0.0396682318079357	Mucilaginibacter	Sphingobacteriales	Bacteroidota
Mycobacterium	0.155734822429512	Mycobacterium	Mycobacteriales	Actinobacteriota
Nakamurella	0.192263214660524	Nakamurella	Mycobacteriales	Actinobacteriota
Nevskia	0.0639868465767039	Nevskia	Nevskiales	Proteobacteria
Nostoc	2.3874341536515	Nostoc	Cyanobacteriales	Cyanobacteria
Novosphingobium	0.18001084136483	Novosphingobium	Sphingomonadales	Proteobacteria
Nyctobacter	0.149049903037778	Nyctobacter	Baltobacterales	Eremiobacterota
Oligoflexus	0.123580278403237	Oligoflexus	Oligoflexales	Bdellovibrionota
Palsa-465	0.899427902178881	Palsa-465	Solirubrobacterales	Actinobacteriota
Palsa-955	0.0837336721776895	Palsa-955	Chitinophagales	Bacteroidota
Parafilimonas	0.0817310706926707	Parafilimonas	Chitinophagales	Bacteroidota
Pedobacter	0.959831837793345	Pedobacter	Sphingobacteriales	Bacteroidota
PMG-095	0.151972958870942	PMG-095	Polyangiales	Myxococcota
PMMR1	0.0373413726052094	PMMR1	Caulobacterales	Proteobacteria
Polaromonas	0.141402305502071	Polaromonas	Burkholderiales	Proteobacteria
Polyangiaceae gen. sp.	0.0842732939498009	Unknown	Polyangiales	Myxococcota
Propionibacteriaceae gen. sp.	0.071756910088922	Unknown	Propionibacteriales	Actinobacteriota
Pseudobdellovibrio	0.132389638824875	Pseudobdellovibrio	Bdellovibrionales	Bdellovibrionota
Pseudonocardia	0.149636395303349	Pseudonocardia	Mycobacteriales	Actinobacteriota
Pyrinomonadaceae gen. sp.	0.0513770241023956	Unknown	Pyrinomonadales	Acidobacteriota
QHXN01	0.293054352551521	QHXN01	Pyrinomonadales	Acidobacteriota
Quadrisphaera	0.252855771928032	Quadrisphaera	Actinomycetales	Actinobacteriota
RH-AL1	0.0992475422366677	RH-AL1	Rhizobiales	Proteobacteria
Rhizobacter	0.177303567241504	Rhizobacter	Burkholderiales	Proteobacteria
Rhodobacteraceae gen. sp.	1.34375019770758	Unknown	Rhodobacterales	Proteobacteria
Rhodomicrobiaceae gen. sp.	0.185034798835111	Unknown	Rhizobiales	Proteobacteria
Rhodopila	0.250921971566187	Rhodopila	Acetobacterales	Proteobacteria
Rhodovarius	0.0543727048718543	Rhodovarius	Acetobacterales	Proteobacteria
Roseomonas	0.089836854472937	Roseomonas	Acetobacterales	Proteobacteria
Rubrivivax	0.153529439422918	Rubrivivax	Burkholderiales	Proteobacteria
SCSIO-52909	0.334272988506771	SCSIO-52909	Rubrobacterales	Actinobacteriota
SCTD01	0.0186681867897369	SCTD01	Mycobacteriales	Actinobacteriota
SCTD01 gen. sp.	0.138044054445977	Unknown	Mycobacteriales	Actinobacteriota
SCTI01 gen. sp.	0.0816320426034838	Unknown	UBA4664	Patescibacteria
Segetibacter	0.0671029094558614	Segetibacter	Chitinophagales	Bacteroidota
SEOHO-28	0.112038392507095	SEOHO-28	Solirubrobacterales	Actinobacteriota
Solirubrobacteraceae gen. sp.	0.1660908803115	Unknown	Solirubrobacterales	Actinobacteriota
Sphingobium	0.0729987042636313	Sphingobium	Sphingomonadales	Proteobacteria
Sphingomicrobium	0.0805863595589378	Sphingomicrobium	Sphingomonadales	Proteobacteria
Sphingomonadaceae gen. sp.	0.157135431482781	Unknown	Sphingomonadales	Proteobacteria
Sphingomonas	0.114658351523492	Sphingomonas	Sphingomonadales	Proteobacteria
Sphingomonas_G	0.418509388092128	Sphingomonas_G	Sphingomonadales	Proteobacteria
Sphingomonas_I	0.046869965242255	Sphingomonas_I	Sphingomonadales	Proteobacteria
Sphingomonas_N	0.0329301040230763	Sphingomonas_N	Sphingomonadales	Proteobacteria
Spiroplasma_C	1.06521734460087	Spiroplasma_C	Mycoplasmatales	Firmicutes
Spirosoma	0.15528311742363	Spirosoma	Cytophagales	Bacteroidota
Spirosomaceae gen. sp.	0.140884434962461	Unknown	Cytophagales	Bacteroidota
Steroidobacteraceae gen. sp.	1.76325515752752	Unknown	Steroidobacterales	Proteobacteria
Tardiphaga	0.165370203328371	Tardiphaga	Rhizobiales	Proteobacteria
Terriglobus	0.101901839488884	Terriglobus	Acidobacteriales	Acidobacteriota
Tous-C9LFEB	0.0787700492601527	Tous-C9LFEB	Acidobacteriales	Acidobacteriota
