Genome	group	locustag	lichen_species	role_in_lichen	classification	NCBI_ID
private_X2_concoct_bin.0	fungus	X2b0	Usnea cavernosa	mycobiont	Usnea cavernosa	1844838 86620 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_X3_concoct_bin.10	fungus	X3b10	Platismatia glauca	mycobiont	Platismatia glauca	78070 78069 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_X8_concoct_bin.23	fungus	X8b23	Ramalina thrausta	mycobiont	Ramalina thrausta	1234224 56479 56478 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_ERR4179390_concoct_bin.45	alga	ERR4179390b45	Lobaria pulmonaria	photobiont_chloro	Symbiochloris	1853743 2507902 2507901 75966 2692248 3041 33090 2759 131567 
public_ERR4179390_concoct_bin.75	alga	ERR4179390b75	Lobaria pulmonaria	photobiont_chloro	Symbiochloris	1853743 2507902 2507901 75966 2692248 3041 33090 2759 131567 
public_ERR4179390_metabat2_bin.28	fungus	ERR4179390b28	Lobaria pulmonaria	mycobiont	Lobaria pulmonaria	86794 63752 129109 157824 388450 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR11456914_concoct_merged.0	fungus	SRR11456914b0	Peltigera extenuata	mycobiont	Peltigera extenuata	238551 48861 48860 157824 388450 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR11456915_metabat2_merged.0	fungus	SRR11456915b0	Peltigera aphthosa	mycobiont	Peltigera aphthosa	52881 48861 48860 157824 388450 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR11456917_metabat2_merged.0	fungus	SRR11456917b0	Peltigera phyllidiosa	mycobiont	Peltigera phyllidiosa	78474 48861 48860 157824 388450 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR11456918_metabat2_merged.0	fungus	SRR11456918b0	Peltigera dolichorhiza	mycobiont	Peltigera dolichorhiza	176453 48861 48860 157824 388450 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR11456919_concoct_bin.22	alga	SRR11456919b22	Solorina crocea	photobiont_chloro	Coccomyxa	41891 2511161 75981 75966 2692248 3041 33090 2759 131567 
