FEN	Field_Determination	Current_Determination	Collector	Collection_Number	Herbarium	Herbarium_Barcode	Basidiomycete Hit?									
FEN_437_Trapelia_placodioides	Trapelia_placodioides	Trapelia placodioides	Lendemer	49282	NY	3033716	No									
FEN_320_Trapeliopsis_flexuosa	Trapeliopsis_flexuosa	Trapeliopsis flexuosa	Tripp	5065	NY	2358384	No									
FEN_113_Trapeliopsis_viridescens	Trapeliopsis_viridescens	Trapeliopsis viridescens	Lendemer	46250	NY	2606698	No									
FEN_467_Trentepohlia_sp	Trentepohlia_sp	Trentepohlia	Tripp	6417	NY	2796640	No									
FEN_33_Usnocetraria_oakesiana	Usnocetraria_oakesiana	Usnocetraria oakesiana	Lendemer	46223	NY	2606725	No									
FEN_480_Willeya_diffractella	Willeya_diffractella	Willeya diffractella	Tripp	6489	NY	2796759	No									
FEN_240_Xanthoparmelia_mexicana	Xanthoparmelia_mexicana	Xanthoparmelia mexicana	Lendemer	46370	NY	2795279	No									
FEN_46_Xylographa_truncigena	Xylographa_truncigena	Xylographa trunciseda	Lendemer	46240	NY	2606708	No									
FEN_136_Xylographa_vitiligo	Xylographa_vitiligo	Xylographa vitiligo	Lendemer	46195	NY	2606753	No									
FEN_73_Anaptychia_palmulata	Anaptychia_palmulata	Anaptychia palmulata	Lendemer	46036	NY	2606911	No									
FEN_443_Anaptychia_palmulata	Anaptychia_palmulata	Anaptychia palmulata	Tripp	6240	NY	2796990	No									
FEN_103_Caloplaca_camptidia	Caloplaca_camptidia	Caloplaca camptidia	Lendemer	45991	NY	2606957	No									
FEN_264_Caloplaca_chrysopthalma	Caloplaca_chrysopthalma	Caloplaca chrysophthalma	Tripp	6034	NY	2794317	No									
FEN_198_Caloplaca_feracissima	Caloplaca_feracissima	Caloplaca feracissima	Lendemer	46741	NY	2794903	No									
FEN_250_Cladonia_mateocyatha	Cladonia_mateocyatha	Cladonia mateocyatha	Lendemer	46387	NY	2795259	No									
FEN_282_Cladonia_mateocyathea	Cladonia_mateocyathea	Cladonia mateocyatha	Tripp	6055	NY	2831247	No									
FEN_9_Cladonia_ochrochlora	Cladonia_ochrochlora	Cladonia ochrochlora	Lendemer	46049	NY	2606898	No									
FEN_321_Cladonia_petrophila	Cladonia_petrophila	Cladonia petrophila	Tripp	3984	COLO	COLO-L-0050026	No									
FEN_420_Cladonia_petrophila	Cladonia_petrophila	Cladonia petrophila	Lendemer	49138	NY	3033533	No									
FEN_445_Cladonia_peziziformis	Cladonia_peziziformis	Cladonia peziziformis	Tripp	6281	NY	2808573	No									
FEN_442_Cladonia_polycarpoides	Cladonia_polycarpoides	Cladonia polycarpoides	Tripp	6226	NY	2797047	No									
FEN_267_Cladonia_pyxidata	Cladonia_pyxidata	Cladonia pyxidata	Tripp	6047	NY	2792579	No									
FEN_201_Cladonia_rangiferina	Cladonia _rangiferina	Cladonia rangiferina	Lendemer	46392	NY	2795254	No									
FEN_494_Cladonia_rangiferina	Cladonia_rangiferina	Cladonia rangiferina	Lendemer	49896	NY	3034892	No									
FEN_491_Cladonia_ravenelii	Cladonia_ravenelii	Cladonia ravenelii	Lendemer	49892	NY	3034896	No									
FEN_496_Cladonia_robbinsii	Cladonia_robbinsii	Cladonia robbinsii	Lendemer	49897	NY	3034891	No									
FEN_280_Cladonia_squamosa	Cladonia_squamosa	Cladonia squamosa	Tripp	6038	NY	2794313	No									
FEN_304_Cladonia_squamosa	Cladonia_squamosa	Cladonia squamosa	Tripp	4968a	COLO	COLO-L-0050330	No									
FEN_488_Cladonia_squamosa	Cladonia_squamosa	Cladonia squamosa	Tripp	6547	NY	2796859	No									
FEN_253_Cladonia_stipitata	Cladonia_stipitata	Cladonia stipitata	Lendemer	46375	NY	2795271	No									
FEN_278_Cladonia_stipitata	Cladonia_stipitata	Cladonia stipitata	Tripp	6060	NY	2831246	No									
FEN_265_Cladonia_strepsilis	Cladonia_strepsilis	Cladonia strepsilis	Tripp	6049	NY	2794306	No									
FEN_493_Cladonia_subtenuis	Cladonia_subtenuis	Cladonia subtenuis	Lendemer	49895	NY	3034893	No									
FEN_200_Cladonia_uncialis	Cladonia _uncialis	Cladonia uncialis	Lendemer	46391	NY	2795255	No									
FEN_277_Cladonia_uncialis	Cladonia_uncialis	Cladonia uncialis	Tripp	6056	NY	2794305	No									
FEN_489_Cladonia_uncialis	Cladonia_uncialis	Cladonia uncialis	Tripp	6550	NY	2808460	No									
FEN_20_Coccocarpia_palmicola	Coccocarpia_palmicola	Coccocarpia palmicola	Lendemer	45953	NY	2606536	No									
FEN_276_Diploschistes_scruposus	Diploschistes_scruposus	Diploschistes scriposus	Tripp	6048	NY	2794307	No									
FEN_401_Dirinaria_frostii	Dirinaria_frostii	Dirinaria frostii	Lendemer	49049	NY	3033139	No									
FEN_42_Graphis_scripta	Graphis_scripta	Graphis scripta	Lendemer	45918	NY	2606571	No									
FEN_458_Heterodermia_albicans	Heterodermia_albicans	Heterodermia albicans	Lendemer	49538	NY	3033981	No									
FEN_225_Heterodermia_appalachensis	Heterodermia_appalachensis	Heterodermia appalachensis	Lendemer	46928	NY	2794705	No									
FEN_283_Heterodermia_appalachensis	Heterodermia_appalachensis	Heterodermia appalachensis	Tripp	6039	NY	2794320	No									
FEN_472_Heterodermia_echinata	Heterodermia_echinata	Heterodermia echinata	Tripp	6430	NY	2796652	No									
FEN_398_Heterodermia_granulifera	Heterodermia_granulifera	Heterodermia granulifera	Tripp	6114	NY	2796930	No									
FEN_235_Heterodermia_hypoleuca	Heterodermia_hypoleuca	Heterodermia hypoleuca	Lendemer	46982	NY	2794651	No									
FEN_74_Heterodermia_casarettiana	Heterodermia_casarettiana	Heterodermia langdoniana	Lendemer	46038	NY	2606909	No									
FEN_482_Heterodermia_casarettiana	Heterodermia_casarettiana	Heterodermia langdoniana	Tripp	6512	NY	2796807	No									
FEN_313_Heterodermia_leucomela	Ramalina_intermedia	Heterodermia leucomela	Lendemer	44717	COLO	COLO-L-0051017	Yes									
FEN_324_Heterodermia_neglecta	Heterodermia_neglecta	Heterodermia neglecta	Tripp	5284	COLO	COLO-L-0050623	No									
FEN_383_Heterodermia_neglecta	Heterodermia_neglecta	Heterodermia neglecta	Lendemer	48750	NY	3033439	No									
FEN_230_Heterodermia_speciosa	Heterodermia_speciosa	Heterodermia speciosa	Lendemer	46925	NY	2794708	No									
FEN_455_Heterodermia_speciosa	Heterodermia_speciosa	Heterodermia speciosa	Lendemer	49524	NY	3033995	No									
FEN_325_Heterodermia_squamulosa	Heterodermia_squamulosa	Heterodermia squamulosa	Tripp	5516	NY	2376517	No									
FEN_372_Heterodermia_squamulosa	Heterodermia_squamulosa	Heterodermia squamulosa	Lendemer	48701	NY	3033039	No									
FEN_110_Hypocenomyce_scalaris	Hypocenomyce_scalaris	Hypocenomyce scalaris	Lendemer	46289	NY	2606659	No									
FEN_32_Hypogymnia_incurvoides	Hypogymnia_incurvoides	Hypogymnia incurvoides	Lendemer	46197	NY	2606751	No									
FEN_70_Hypogymnia_krogiae	Hypogymnia_krogiae	Hypogymnia krogiae	Lendemer	46157	NY	2606791	No									
FEN_55_Hypogymnia_vittata	Hypogymnia_vittata	Hypogymnia vittata	Lendemer	46170	NY	2606778	No									
FEN_326_Hypotrachyna_afrorevoluta	Hypotrachyna_afrorevoluta	Hypotrachyna afrorevoluta	Tripp	5034	NY	2358388	No									
FEN_57_Everniastrum_catawbiense	Everniastrum_catawbiense	Hypotrachyna catawbiensis	Lendemer	46273	NY	2606675	No									
FEN_386_Hypotrachyna_lividescens	Hypotrachyna_lividescens	Hypotrachyna lividescens	Lendemer	48639	NY	3032955	No									
FEN_21_Hypotrachyna_minarum	Hypotrachyna_minarum	Hypotrachyna minarum	Lendemer	45940	NY	2606549	No									
FEN_375_Hypotrachyna_minarum	Hypotrachyna_minarum	Hypotrachyna minarum	Lendemer	48693	NY	3033048	No									
FEN_485_Hypotrachyna_osseoalba	Hypotrachyna_osseoalba	Hypotrachyna osseoalba	Lendemer	49836	NY	3217052	No									
FEN_327_Hypotrachyna_revoluta	Hypotrachyna_revoluta	Hypotrachyna revoluta	Tripp	5069	NY	2358400	No									
FEN_328_Hypotrachyna_taylorensis	Hypotrachyna_taylorensis	Hypotrachyna taylorensis	Tripp	4933	NY	2359957	No									
FEN_212_Lecanora_albella	Lecanora_albella var. rubescens	Lecanora albella v. rubescens	Lendemer	46417	NY	2795230	No									
FEN_329_Lecanora_appalachensis	Lecanora_appalachensis	Lecanora appalachensis	Lendemer	44579	NY	2438440	No									
FEN_114_Lecanora_cinereofusca	Lecanora_cinereofusca	Lecanora cinereofusca	Lendemer	45937	NY	2606552	No									
FEN_186_Lecanora_hybocarpa	Lecanora_hybocarpa	Lecanora hybocarpa	Lendemer	46600	NY	2795046	No									
FEN_84_Lecanora_masana	Lecanora_masana	Lecanora masana	Lendemer	46185	NY	2606763	No									
FEN_286_Lecanora_orienoides	Lecanora_orienoides	Lecanora oreinoides	Tripp	6054	NY	2831233	No									
FEN_433_Lecanora_orienoides	Lecanora_orienoides	Lecanora oreinoides	Tripp	6209	NY	2808624	No									
FEN_330_Lecanora_polytropa	Lecanora_polytropa	Lecanora polytropa	Tripp	5019	NY	2358362	No									
FEN_355_Actually_Pseudevernia_consocians_not_Lecanora_Plate5	Lecanora_pseudistera	Lecanora pseudistera	Lendemer	48566	NY	3217073	No									
FEN_83_Lecanora_rugosella	Lecanora_rugosella	Lecanora rugosella	Lendemer	46180	NY	2606768	No									
FEN_216_Lecanora_strobilina	Lecanora_strobilina	Lecanora strobilina	Lendemer	46780	NY	2794857	No									
FEN_400_Lecanora_saxigena	Lecanora_saxigena	Lecanora subimmergens	Lendemer	49057	NY	3033132	No									
FEN_331_Lecanora_subpallens	Lecanora_subpallens	Lecanora subpallens	Tripp	3981	NY	2057301	No									
FEN_119_Lecanora_thysanophora	Lecanora_thysanophora	Lecanora thysanophora	Lendemer	45887	NY	2606603	No									
FEN_209_Leptogium_austroamericanum	Leptogium_austroamericanum	Leptogium austroamericanum	Lendemer	46734	NY	2794910	No									
FEN_224_Leptogium_chloromelum	Leptogium_chloromelum	Leptogium chloromelum	Lendemer	46938	NY	2794695	No									
FEN_29_Leptogium_corticola	Leptogium_corticola	Leptogium corticola	Lendemer	45903	NY	2606586	No									
FEN_451_Leptogium_corticola	Leptogium_corticola	Leptogium corticola	Tripp	6316	NY	2808550	No									
FEN_80_Leptogium_cyanescens	Leptogium_cyanescens	Leptogium cyanescens	Lendemer	46018	NY	2606929	No									
FEN_411_Leptogium_cyanescens	Leptogium_cyanescens	Leptogium cyanescens	Tripp	6136	NY	2796952	No									
FEN_335_Leptogium_dactylinum	Leptogium_dactylinum	Leptogium dactylinum	Tripp	5452	NY	2376459	No									
FEN_501_Leptogium_dactylinum	Leptogium_dactylinum	Leptogium dactylinum	Tripp	6581	NY	2796699	No									
FEN_231_Leptogium_hirsutum	Leptogium_hirsutum	Leptogium hirsutum	Lendemer	46937	NY	2794696	No									
FEN_452_Leptogium_hirsutum	Leptogium_hirsutum	Leptogium hirsutum	Lendemer	49444	NY	3033901	No									
FEN_473_Leptogium_lichenoides	Leptogium_lichenoides	Leptogium lichenoides	Tripp	6431	NY	2796653	No									
FEN_78_Lobaria_pulmonaria	Lobaria_pulmonaria	Lobaria pulmonaria	Lendemer	46025	NY	2606922	No									
FEN_24_Lobaria_quercizans	Lobaria_quercizans	Lobaria quercizans	Lendemer	46093	NY	2606856	No									
FEN_336_Lobaria_scrobiculata	Lobaria_scrobiculata	Lobaria scrobiculata	Tripp	5055	NY	2358382	No									
FEN_93_Meglaospora_porphyritis	Meglaospora_porphyritis	Megalospora porphyritis	Lendemer	46114	NY	2606834	No									
FEN_338_Megalospora_porphyritis	Megalospora_porphyritis	Megalospora porphyritis	Tripp	5562	NY	2441380	No									
FEN_88_Mycoblastus_sanguinarioides	Mycoblastus_sanguinarioides	Mycoblastus sanguinarioides	Lendemer	46137	NY	2606811	No									
FEN_342_Mycoblastus_sanguinarius	Mycoblastus_sanguinarius	Mycoblastus sanguinarioides	Tripp	5068	NY	2358383	No									
FEN_344_Normandina_pulchella	Normandina_pulchella	Normandina pulchella	Tripp	5296	COLO	COLO-L-0050636	No									
FEN_463_Parmotrema_arnoldii	Parmotrema_arnoldii	Parmotrema arnoldii	Lendemer	49572	NY	3034379	No									
FEN_478_Parmotrema_austrosinense	Parmotrema_austrosinense	Parmotrema austrosinense	Lendemer	49663	NY	3034287	No									
FEN_229_Parmotrema_cetratum	Parmotrema_cetratum	Parmotrema cetratum	Lendemer	46914	NY	2794724	No									
FEN_461_Parmotrema_cetratum	Parmotrema_cetratum	Parmotrema cetratum	Lendemer	49550	NY	3033969	No									
FEN_108_Parmotrema_crinitum	Parmotrema_crinitum	Parmotrema crinitum	Lendemer	46319	NY	2606628	No									
FEN_349_Parmotrema_critinum	Parmotrema_critinum	Parmotrema crinitum	Tripp	5527	NY	2376403	No									
FEN_370_Parmotrema_critinum	Parmotrema_critinum	Parmotrema crinitum	Lendemer	48703	NY	3033037	No									
FEN_3_Parmotrema_diffractaicum	Parmotrema_diffractaicum	Parmotrema diffractaicum	Lendemer	45986	NY	2606964	No									
FEN_237_Parmotrema_gardneri	Parmotrema_gardneri	Parmotrema gardneri	Lendemer	46788	NY	2794849	No									
FEN_238_Parmotrema_hypotropum	Parmotrema_hypotropum	Parmotrema hypotropum	Lendemer	46803	NY	2794834	No									
FEN_262_Parmotrema_hypotropum	Parmotrema_hypotropum	Parmotrema hypotropum	Tripp	6046	NY	2792578	Yes									
FEN_464_Parmotrema_internexum	Parmotrema_internexum	Parmotrema internexum	Lendemer	49587	NY	3034363	No									
FEN_289_Parmotrema_margaritatum	Parmotrema_margaritatum	Parmotrema margaritatum	Lendemer	44568	NY	2438298	No									
FEN_290_Parmotrema_mellissii	Parmotrema_mellissii	Parmotrema mellissii	Tripp	3909	NY	1886959	No									
FEN_388_Parmotrema_mellissii	Parmotrema_mellissii	Parmotrema mellissii	Lendemer	48896	NY	3033293	No									
FEN_295_Parmotrema_neotropicum	Parmotrema_neotropicum	Parmotrema neotropicum	Lendemer	44839	NY	2438598	No									
FEN_439_Parmotrema_neotropicum	Parmotrema_neotropicum	Parmotrema neotropicum	Lendemer	49188	NY	3033655	No									
FEN_369_Parmotrema_perlatum	Parmotrema_perlatum	Parmotrema perlatum	Lendemer	48705	NY	3033035	No									
FEN_497_Parmotrema_rampoddense	Parmotrema_rampoddense	Parmotrema rampoddense	Lendemer	49908	NY	3034880	No									
FEN_287_Parmotrema_reticulatum	Parmotrema_reticulatum	Parmotrema reticulatum	Tripp	5303	NY	2376314	No									
FEN_348_Parmelia_sulcata	Parmelia_sulcata	Parmotrema reticulatum	Tripp	5523	NY	2441386	No									
FEN_362_Parmotrema_reticulatum	Parmotrema_reticulatum	Parmotrema reticulatum	Lendemer	48628	NY	3032966	No									
FEN_391_Parmotrema_simulans	Parmotrema_simulans	Parmotrema simulans	Lendemer	48891	NY	3033298	No									
FEN_203_Parmotrema_stuppeum	Parmotrema_stuppeum	Parmotrema stuppeum	Lendemer	46669	NY	2794975	No									
FEN_294_Parmotrema_subsidiosum	Parmotrema_subsidiosum	Parmotrema subisidiosum	Tripp	4010	NY	2057320	No									
FEN_446_Parmotrema_submarginale	Parmotrema_submarginale	Parmotrema submarginale	Tripp	6293	NY	2797008	No									
FEN_259_Parmotrema_subsumptum	Parmotrema_subsumptum	Parmotrema subsumptum	Tripp	6036	NY	2792577	No									
FEN_407_Parmotrema_tinctorum	Parmotrema_tinctorum	Parmotrema tinctorum	Lendemer	49041	NY	3033150	No									
FEN_428_Parmotrema_ultralucens	Parmotrema_ultralucens	Parmotrema ultralucens	Tripp	6176	NY	2796974	No									
FEN_205_Parmotrema_xanthinum	Parmotrema_xanthinum	Parmotrema xanthinum	Lendemer	46754	NY	2794890	No									
FEN_258_Pertusaria_andersoniae	Lepra_andersoniae	Pertusaria andersoniae	Lendemer	48277	NY	2700266	No									
FEN_296_Pertusaria_epixantha	Pertusaria_epixantha	Pertusaria epixantha	Tripp	4024	NY	1886970	No									
FEN_120_Pertusaria_macounii	Pertusaria_macounii	Pertusaria macounii	Lendemer	45893	NY	2606597	No									
FEN_460_Pertusaria_obruta	Pertusaria_obruta	Pertusaria obruta	Lendemer	49548	NY	3033971	No									
FEN_232_Pertusaria_ostiolata	Pertusaria_ostiolata	Pertusaria ostiolata	Lendemer	46873	NY	2794766	No									
FEN_101_Pertusaria_paratuberculifera	Pertusaria_paratuberculifera	Pertusaria paratuberculifera	Lendemer	45980	NY	2606971	No									
FEN_305_Pertusaria_plittiana	Pertusaria_plittiana	Pertusaria plittiana	Tripp	5465	NY	2441374	No									
FEN_402_Pertusaria_plittiana	Pertusaria_plittiana	Pertusaria plittiana	Lendemer	49058	NY	3033131	No									
FEN_379_Pertusaria_propinqua	Pertusaria_propinqua	Pertusaria propinqua	Lendemer	48825	NY	3033363	No									
FEN_306_Pertusaria_rubefacta	Pertusaria_rubefacta	Pertusaria rubefacta	Tripp	5482	NY	2376334	No									
FEN_102_Pertusaria_subpertusa	Pertusaria_subpertusa	Pertusaria subpertusa	Lendemer	45987	NY	2606962	No									
FEN_418_Phaeophyscia_adiastola	Phaeophyscia_adiastola	Phaeophyscia adiastola	Lendemer	49114	NY	3033557	No									
FEN_352_Phaeophyscia_hispidula	Phaeophyscia_hispidula	Phaeophyscia hispidula	Lendemer	48558	NY	3217082	No									
FEN_307_Phaeophyscia_rubropulchra	Phaeophyscia_rubropulchra	Phaeophyscia rubropulchra	Tripp	5525	NY	2376404	No									
FEN_450_Phaeophyscia_rubropulchra	Phaeophyscia_rubropulchra	Phaeophyscia rubropulchra	Tripp	6314	NY	2808548	No									
FEN_228_Phaeophyscia_squarrosa	Phaeophyscia_squarrosa	Phaeophyscia squarrosa	Lendemer	46920	NY	2794718	No									
FEN_269_Physcia_americana	Physcia_americana	Physcia americana	Tripp	6037	NY	2794314	No									
FEN_309_Physconia_leucoleiptes	Physconia_leucoleiptes	Physconia leucoleiptes	Lendemer	44557	NY	2438309	No									
FEN_257_Physconia_subpallida	Physconia_subpallida	Physconia subpallida	Lendemer	48001	NY	2700627	No									
FEN_54_Platismatia_glauca	Platismatia_glauca	Platismatia glauca	Lendemer	46171	NY	2606777	No									
FEN_38_Platismatia_tuckermanii	Platismatia_tuckermanii	Platismatia tuckermanii	Lendemer	46172	NY	2606776	No									
FEN_356_Platismatia_tuckermanii	Platismatia_tuckermanii	Platismatia tuckermanii	Lendemer	48642	NY	3032952	No									
FEN_62_Pseudocyphellaria_perpetua	Pseudocyphellaria_perpetua	Pseudocyphellaria holarctica	Lendemer	46117	NY	2606831	No									
FEN_122_Pyrenula_leucostoma	Pyrenula_leucostoma	Pyrenula leucostoma	Lendemer	45896	NY	2606594	No									
FEN_115_Pyrenula_pseudobufonia	Pyrenula_pseudobufonia	Pyrenula pseudobufonia	Lendemer	45901	NY	2606588	No									
FEN_300_Pyrenula_pseudobufonia	Pyrenula_pseudobufonia	Pyrenula pseudobufonia	Tripp	4991	NY	2359936	No									
FEN_360_Ramalina_americana	Ramalina_americana	Ramalina americana	Lendemer	48621	NY	3032973	No									
FEN_385_Ramalina_culbersoniorum	Ramalina_culbersoniorum	Ramalina culbersoniorum	Lendemer	48735	NY	3033005	No									
FEN_422_Ramalina_intermedia	Ramalina_intermedia	Ramalina petrina	Lendemer	49122	NY	3033549	No									
FEN_314_Rhizocarpon_geographicum	Rhizocarpon_geographicum	Rhizocarpon geographicum	Tripp	5097	NY	2359284	No									
FEN_206_Rhizocarpon_subgeminatum	Rhizocarpon_subgeminatum	Rhizocarpon subgeminatum	Lendemer	46368	NY	2795281	No									
FEN_106_Rinodina_adirondackii	Rinodina_adirondackii	Rinodina adirondackii	Lendemer	45957	NY	2606532	No									
FEN_315_Rinodina_ascocisana	Rinodina_ascocisana	Rinodina ascociscana	Tripp	4925	NY	2359914	No									
FEN_104_Rinodina_buckii	Rinodina_buckii	Rinodina buckii	Lendemer	45999	NY	2606949	No									
FEN_316_Rinodina_chrysidata	Rinodina_chrysidata	Rinodina chrysidiata	Tripp	5292	NY	2376307	No									
FEN_484_ssc_Plate6	ssc_	Rinodina colobinoides	Lendemer	49833	NY	3217055	No									
FEN_396_Rinodina_sp	Rinodina_sp	Rinodina dolichospora	Lendemer	48902	NY	3033287	No									
FEN_317_Rinodina_tephraspis	Rinodina_tephraspis	Rinodina tephraspis	Tripp	5334	NY	2441365	No									
FEN_301_Trypethelium_tropicum	Trypethelium_tropicum	Trypethelium tropicum	Tripp	3976A	NY	1886980	No									
FEN_95_Trypethelium_virens	Trypethelium_virens	Trypethelium virens	Lendemer	46047	NY	2606900	No									
FEN_504_Trypethelium_virens	Trypethelium_virens	Trypethelium virens	Lendemer	49946	NY	3034843	No									
FEN_302_Tuckermanopsis_ciliaris	Tuckermanopsis_ciliaris	Tuckermanopsis ciliaris	Tripp	4953	COLO	COLO-L-0050342	No									
FEN_364_Tuckermanopsis_ciliaris	Tuckermanopsis_ciliaris	Tuckermanopsis ciliaris	Lendemer	48635	NY	3032959	No									
FEN_495_Tuckermanopsis_ciliaris	Tuckermanopsis_ciliaris	Tuckermanopsis ciliaris	Tripp	6558	NY	2796682	No									
FEN_447_Tylophoron_americanum	Tylophoron_americanum	Tylophoron americanum	Tripp	6302	NY	2797012	No									
FEN_303_Umbilicaria_mammulata	Umbilicaria_mammulata	Umbilicaria mammulata	Tripp	5479	NY	2376333	No									
FEN_373_Umbilicaria_mammulata	Umbilicaria_mammulata	Umbilicaria mammulata	Lendemer	48697	NY	3033043	No									
FEN_64_Usnea_ceratina	Usnea_ceratina	Usnea ceratina	Lendemer	46119	NY	2606829	No									
FEN_367_Usnea_ceratina	Usnea_ceratina	Usnea ceratina	Lendemer	48740	NY	3032997	No									
FEN_63_Usnea_corntua	Usnea_corntua	Usnea cornuta	Lendemer	46118	NY	2606830	Yes									
FEN_359_Usnea_fulvoreagens	Usnea_fulvoreagens	Usnea fulvoeagens	Lendemer	48610	NY	3032984	No									
FEN_252_Usnea_halei	Usnea_halei	Usnea halei	Lendemer	46374	NY	2795272	No									
FEN_248_Usnea_merrillii	Usnea_merrillii	Usnea merrillii	Lendemer	46379	NY	2795267	No									
FEN_435_Usnea_mutabilis	Usnea_mutabilis	Usnea mutabilis	Lendemer	49260	NY	3033738	No									
FEN_271_Usnea_strigosa	Usnea_strigosa	Usnea strigosa	Tripp	6069	NY	2831249	Yes									
FEN_68_Usnea_subfusca	Usnea_subfusca	Usnea subfusca	Lendemer	46309	NY	2606639	No									
FEN_368_Usnea_subgracilis	Usnea_subgracilis	Usnea subgracilis	Lendemer	48717	NY	3033023	Yes									
FEN_251_Usnea_subscabrosa	Usnea_subscabrosa	Usnea subscabrosa	Lendemer	46747	NY	2794897	No									
