run_accession	sample_accession	location	isolate	sample_alias
SRR14721921	SAMN19302780	34.97797 N 85.81031 W		FEN_459_Collema_coccophorum_Plate6_R1.fastq.gz
SRR14721922	SAMN19302779	34.97797 N 85.81031 W		FEN_458_Heterodermia_albicans_Plate6_R1.fastq.gz
SRR14721923	SAMN19302778	34.97797 N 85.81031 W		FEN_457_Acanthothecis_fontana_Plate6_R1.fastq.gz
SRR14721924	SAMN19302777	34.97797 N 85.81031 W		FEN_456_Placidium_arboreum_Plate6_R1.fastq.gz
SRR14721925	SAMN19302776	34.97797 N 85.81031 W		FEN_455_Heterodermia_speciosa_Plate6_R1.fastq.gz
SRR14721926	SAMN19302775	34.35056 N 85.67525 W		FEN_454_Buellia_mamillana_Plate6_R1.fastq.gz
SRR14721927	SAMN19302774	34.35056 N 85.67525 W		FEN_453_Canoparmelia_crozalsiana_Plate6_R1.fastq.gz
SRR14721928	SAMN19302773	34.35056 N 85.67525 W		FEN_452_Leptogium_hirsutum_Plate6_R1.fastq.gz
SRR14721929	SAMN19302482	35.4675 N 83.5617 W		FEN_65_Buellia_stillingiana_Plate3_H1_R1.fastq.gz
SRR14721930	SAMN19302772	34.35056 N 85.67525 W		FEN_451_Leptogium_corticola_Plate6_R1.fastq.gz
SRR14721931	SAMN19302771	34.35056 N 85.67525 W		FEN_450_Phaeophyscia_rubropulchra_Plate6_R1.fastq.gz
SRR14721932	SAMN19302770	34.35056 N 85.67525 W		FEN_449_Thelotrema_subtile_Plate6_R1.fastq.gz
SRR14721933	SAMN19302769	34.35056 N 85.67525 W		FEN_448_Bathelium_carolinianum_Plate6_R1.fastq.gz
SRR14721934	SAMN19302768	34.35056 N 85.67525 W		FEN_447_Tylophoron_americanum_Plate6_R1.fastq.gz
SRR14721935	SAMN19302767	34.4717 N 86.0511 W		FEN_446_Parmotrema_submarginale_Plate6_R1.fastq.gz
SRR14721936	SAMN19302766	34.45592 N 85.58447 W		FEN_445_Cladonia_peziziformis_Plate6_R1.fastq.gz
SRR14721937	SAMN19302765	34.45592 N 85.58447 W		FEN_444_Dermatocarpon_luridum_Plate6_R1.fastq.gz
SRR14721938	SAMN19302764	34.36786 N 85.62986 W		FEN_443_Anaptychia_palmulata_Plate6_R1.fastq.gz
SRR14721939	SAMN19302763	34.36786 N 85.62986 W		FEN_442_Cladonia_polycarpoides_Plate6_R1.fastq.gz
