run_accession	sample_accession	location	isolate	sample_alias
SRR14721940	SAMN19302481	35.47 N 83.5583 W		Plate1_C7_S13_L002_R1_001.fastq.gz
SRR14721941	SAMN19302762	34.3736 N 85.6922 W		FEN_441_Porpidia_subsimplex_Plate6_R1.fastq.gz
SRR14721942	SAMN19302761	34.3736 N 85.6922 W		FEN_440_Bulbothrix_scortella_Plate6_R1.fastq.gz
SRR14721943	SAMN19302760	34.3736 N 85.6922 W		FEN_439_Parmotrema_neotropicum_Plate6_R1.fastq.gz
SRR14721944	SAMN19302759	34.36786 N 85.62986 W	Lendemer_49273_NY-3033725	FEN_438_Pyrrhospora_varians_Plate6_R1.fastq.gz
SRR14721945	SAMN19302758	34.36786 N 85.62986 W		FEN_437_Trapelia_placodioides_Plate6_R1.fastq.gz
SRR14721946	SAMN19302757	34.3736 N 85.6922 W		FEN_436_Thelotrema_defectum_Plate6_R1.fastq.gz
SRR14721947	SAMN19302756	34.36786 N 85.62986 W		FEN_435_Usnea_mutabilis_Plate6_R1.fastq.gz
SRR14721948	SAMN19302755	34.3736 N 85.6922 W		FEN_434_Porpidia_albocaerulescens_Plate6_R1.fastq.gz
SRR14721949	SAMN19302754	34.3736 N 85.6922 W		FEN_433_Lecanora_orienoides_Plate6_R1.fastq.gz
SRR14721950	SAMN19302753	34.47731 N 86.0583 W		FEN_432_Pseudosagedia_chlorotica_Plate6_R1.fastq.gz
SRR14721951	SAMN19302480	35.47 N 83.5583 W		Plate1_B7_S7_L002_R1_001.fastq.gz
SRR14721952	SAMN19302453	35.4828 N 83.5597 W		FEN_9_Cladonia_ochrochlora_Plate1_A2_R1.fastq.gz
SRR14721953	SAMN19302752	34.3736 N 85.6922 W		FEN_431_Pannaria_tavaresii_Plate6_R1.fastq.gz
SRR14721954	SAMN19302751	34.3736 N 85.6922 W		FEN_430_Collema_furfuraceum_Plate6_R1.fastq.gz
SRR14721955	SAMN19302750	34.3736 N 85.6922 W		FEN_429_Halecania_sp_Plate6_R1.fastq.gz
SRR14721956	SAMN19302749	34.3736 N 85.6922 W		FEN_428_Parmotrema_ultralucens_Plate6_R1.fastq.gz
SRR14721957	SAMN19302748	34.3736 N 85.6922 W		FEN_427_Ephebe_solida_Plate6_R1.fastq.gz
SRR14721958	SAMN19302747	34.3736 N 85.6922 W		FEN_426_Dibaeis_absoluta_Plate6_R1.fastq.gz
SRR14721959	SAMN19302746	34.3736 N 85.6922 W		FEN_425_Ionaspis_lacustris_Plate6_R1.fastq.gz
SRR14721960	SAMN19302745	34.4717 N 86.0511 W		FEN_424_Phyllopsora_corallina_Plate6_R1.fastq.gz
SRR14721961	SAMN19302744	34.4717 N 86.0511 W		FEN_423_Dermatocarpon_muhlenbergii_Plate6_R1.fastq.gz
SRR14721962	SAMN19302743	34.4717 N 86.0511 W		FEN_422_Ramalina_intermedia_Plate6_R1.fastq.gz
SRR14721963	SAMN19302479	35.47 N 83.5583 W		Plate1_A7_S1_L002_R1_001.fastq.gz
SRR14721964	SAMN19302742	34.4717 N 86.0511 W		FEN_421_Phyllopsora_parvifolia_Plate6_R1.fastq.gz
SRR14721965	SAMN19302741	34.4717 N 86.0511 W		FEN_420_Cladonia_petrophila_Plate6_R1.fastq.gz
SRR14721966	SAMN19302740	34.4717 N 86.0511 W		FEN_419_Opegrapha_moroziana_Plate6_R1.fastq.gz
SRR14721967	SAMN19302739	34.4717 N 86.0511 W		FEN_418_Phaeophyscia_adiastola_Plate6_R1.fastq.gz
SRR14721968	SAMN19302738	34.4717 N 86.0511 W		FEN_417_Botryolepraria_lesdainii_Plate6_R1.fastq.gz
SRR14721969	SAMN19302737	34.4717 N 86.0511 W		FEN_416_Chrysothrix_onokoensis_Plate5_R1.fastq.gz
SRR14721970	SAMN19302736	34.4717 N 86.0511 W	Tripp_6156_NY-2796959	FEN_415_Leucodecton_sp_Plate5_R1.fastq.gz
SRR14721971	SAMN19302735	34.4717 N 86.0511 W		FEN_414_Porina_heterospora_Plate5_R1.fastq.gz
SRR14721972	SAMN19302734	34.4717 N 86.0511 W		FEN_413_Sticta_caroliniana_Plate5_R1.fastq.gz
SRR14721973	SAMN19302733	34.4717 N 86.0511 W		FEN_412_Fissurina_insidiosa_Plate5_R1.fastq.gz
SRR14721974	SAMN19302478	35.585 N 83.4747 W		FEN_57_Everniastrum_catawbiense_Plate1_D6_R1.fastq.gz
SRR14721975	SAMN19302732	34.4717 N 86.0511 W		FEN_411_Leptogium_cyanescens_Plate5_R1.fastq.gz
SRR14721976	SAMN19302731	34.47731 N 86.0583 W		FEN_410_Porina_scabrida_Plate5_R1.fastq.gz
SRR14721977	SAMN19302730	34.47731 N 86.0583 W		FEN_409_Pseudosagedia_cestrensis_Plate5_R1.fastq.gz
SRR14721978	SAMN19302729	34.47731 N 86.0583 W		FEN_408_Arthonia_rubella_Plate5_R1.fastq.gz
SRR14721979	SAMN19302728	34.47731 N 86.0583 W		FEN_407_Parmotrema_tinctorum_Plate5_R1.fastq.gz
SRR14721980	SAMN19302727	34.47731 N 86.0583 W		FEN_406_Aspicilia_laevata_Plate5_R1.fastq.gz
SRR14721981	SAMN19302726	34.47731 N 86.0583 W		FEN_405_Pyxine_albovirens_Plate5_R1.fastq.gz
SRR14721982	SAMN19302725	34.47731 N 86.0583 W	Lendemer_49042_NY-3033146	FEN_404_Unknown_Plate5_R1.fastq.gz
SRR14721983	SAMN19302724	34.47731 N 86.0583 W		FEN_403_Gyalecta_farlowii_Plate5_R1.fastq.gz
SRR14721984	SAMN19302723	34.47731 N 86.0583 W		FEN_402_Pertusaria_plittiana_Plate5_R1.fastq.gz
SRR14721985	SAMN19302477	35.585 N 83.4747 W		FEN_56_Imshaugia_aleurites_Plate1_C6_R1.fastq.gz
SRR14721986	SAMN19302722	34.47731 N 86.0583 W		FEN_401_Dirinaria_frostii_Plate5_R1.fastq.gz
SRR14721987	SAMN19302721	34.47731 N 86.0583 W		FEN_400_Lecanora_saxigena_Plate5_R1.fastq.gz
SRR14721988	SAMN19302720	34.47731 N 86.0583 W		FEN_399_Chrysothrix_xanthina_Plate5_R1.fastq.gz
SRR14721989	SAMN19302719	34.47731 N 86.0583 W		FEN_398_Heterodermia_granulifera_Plate5_R1.fastq.gz
SRR14721990	SAMN19302718	34.47731 N 86.0583 W		FEN_397_Myelochroa_obsessa_Plate5_R1.fastq.gz
SRR14721991	SAMN19302717	35.0233 N 83.1706 W		FEN_396_Rinodina_sp_Plate5_R1.fastq.gz
SRR14721992	SAMN19302716	35.0253 N 83.1747 W		FEN_395_Flavoparmelia_baltimorensis_Plate5_R1.fastq.gz
SRR14721993	SAMN19302715	35.0261 N 83.1778 W	Lendemer_48835_NY-3720155	FEN_394_Unknown_Plate5_R1.fastq.gz
SRR14721994	SAMN19302714	35.0261 N 83.1778 W	Lendemer_48883_NY-3033306	FEN_393_Lecanora_nothocaesiella_Plate5_R1.fastq.gz
SRR14721995	SAMN19302713	35.0253 N 83.1747 W		FEN_392_Lepra_amara_Plate5_R1.fastq.gz
SRR14721996	SAMN19302476	35.5631 N 83.4983 W		FEN_55_Hypogymnia_vittata_Plate1_B6_R1.fastq.gz
SRR14721997	SAMN19302712	35.0261 N 83.1778 W		FEN_391_Parmotrema_simulans_Plate5_R1.fastq.gz
SRR14721998	SAMN19302711	35.0261 N 83.1778 W		FEN_390_Lepraria_normandinoides_Plate5_R1.fastq.gz
SRR14721999	SAMN19302710	35.0261 N 83.1778 W		FEN_389_Ochrolechia_trochophora_Plate5_R1.fastq.gz
SRR14722000	SAMN19302709	35.0261 N 83.1778 W		FEN_388_Parmotrema_mellissii_Plate5_R1.fastq.gz
SRR14722001	SAMN19302708	35.1036 N 83.2075 W		FEN_387_Bacidia_sorediata_Plate5_R1.fastq.gz
SRR14722002	SAMN19302707	35.1058 N 83.2033 W		FEN_386_Hypotrachyna_lividescens_Plate5_R1.fastq.gz
SRR14722003	SAMN19302706	35.1036 N 83.2075 W		FEN_385_Ramalina_culbersoniorum_Plate5_R1.fastq.gz
SRR14722004	SAMN19302705	35.1036 N 83.2075 W		FEN_384_Cetrelia_chicitae_Plate5_R1.fastq.gz
SRR14722005	SAMN19302704	35.0253 N 83.1747 W		FEN_383_Heterodermia_neglecta_Plate5_R1.fastq.gz
SRR14722006	SAMN19302703	35.0253 N 83.1747 W		FEN_382_Cetrelia_olivetorum_Plate5_R1.fastq.gz
SRR14722007	SAMN19302475	35.5631 N 83.4983 W		FEN_54_Platismatia_glauca_Plate1_A6_R1.fastq.gz
SRR14722008	SAMN19302702	35.0253 N 83.1747 W		FEN_381_Sticta_fragillinata_Plate5_R1.fastq.gz
SRR14722009	SAMN19302701	35.0253 N 83.1747 W		FEN_380_Cladonia_apodocarpa_Plate5_R1.fastq.gz
SRR14722010	SAMN19302700	35.0253 N 83.1747 W		FEN_379_Pertusaria_propinqua_Plate5_R1.fastq.gz
SRR14722011	SAMN19302699	35.1036 N 83.2075 W		FEN_378_Biatora_longispora_Plate5_R1.fastq.gz
SRR14722012	SAMN19302698	35.1036 N 83.2075 W		FEN_377_Conotrema_urceolatum_Plate5_R1.fastq.gz
SRR14722013	SAMN19302697	35.1036 N 83.2075 W		FEN_376_Biatora_pontica_Plate5_R1.fastq.gz
SRR14722014	SAMN19302696	35.1036 N 83.2075 W		FEN_375_Hypotrachyna_minarum_Plate5_R1.fastq.gz
SRR14722015	SAMN19302695	35.1036 N 83.2075 W		FEN_374_Leptogium_corticola_Plate5_R1.fastq.gz
SRR14722016	SAMN19302694	35.1036 N 83.2075 W		FEN_373_Umbilicaria_mammulata_Plate5_R1.fastq.gz
SRR14722017	SAMN19302693	35.1036 N 83.2075 W		FEN_372_Heterodermia_squamulosa_Plate5_R1.fastq.gz
SRR14722018	SAMN19302474	35.61 N 83.4467 W		FEN_49_Lepraria_oxybapha_Plate1_D5_R1.fastq.gz
SRR14722019	SAMN19302692	35.1036 N 83.2075 W		FEN_371_Dendriscocaulon_intricatulum_Plate5_R1.fastq.gz
SRR14722020	SAMN19302691	35.1036 N 83.2075 W		FEN_370_Parmotrema_critinum_Plate5_R1.fastq.gz
SRR14722021	SAMN19302690	35.1036 N 83.2075 W		FEN_369_Parmotrema_perlatum_Plate5_R1.fastq.gz
SRR14722022	SAMN19302689	35.1036 N 83.2075 W		FEN_368_Usnea_subgracilis_Plate5_R1.fastq.gz
SRR14722023	SAMN19302688	35.1036 N 83.2075 W		FEN_367_Usnea_ceratina_Plate5_R1.fastq.gz
SRR14722024	SAMN19302687	35.7314 N 79.1053 W		FEN_366_Dermiscellum_oulocheilum_Plate5_R1.fastq.gz
SRR14722025	SAMN19302686	35.1058 N 83.2033 W		FEN_365_Collema_conglomeratum_Plate5_R1.fastq.gz
SRR14722026	SAMN19302685	35.1058 N 83.2033 W		FEN_364_Tuckermanopsis_ciliaris_Plate5_R1.fastq.gz
SRR14722027	SAMN19302684	35.1058 N 83.2033 W		FEN_363_Ahtiana_aurescens_Plate5_R1.fastq.gz
SRR14722028	SAMN19302683	35.1058 N 83.2033 W		FEN_362_Parmotrema_reticulatum_Plate5_R1.fastq.gz
SRR14722029	SAMN19302473	35.61 N 83.4467 W		FEN_48_Arthonia_kermesina_Plate3_G1_R1.fastq.gz
SRR14722030	SAMN19302682	35.1058 N 83.2033 W		FEN_361_Parmelia_squarrosa_Plate5_R1.fastq.gz
SRR14722031	SAMN19302681	35.1058 N 83.2033 W		FEN_360_Ramalina_americana_Plate5_R1.fastq.gz
SRR14722032	SAMN19302677	35.1058 N 83.2033 W		FEN_356_Platismatia_tuckermanii_Plate5_R1.fastq.gz
SRR14722033	SAMN19302676	35.5994 N 83.1033 W		FEN_355_Lecanora_pseudistera_Plate5_R1.fastq.gz
SRR14722034	SAMN19302675	35.5994 N 83.1033 W		FEN_354_Lepraria_jackii_Plate5_R1.fastq.gz
SRR14722035	SAMN19302674	35.5994 N 83.1033 W		FEN_353_Melanohalea_halei_Plate5_R1.fastq.gz
SRR14722036	SAMN19302673	35.5994 N 83.1033 W		FEN_352_Phaeophyscia_hispidula_Plate5_R1.fastq.gz
SRR14722037	SAMN19302672	35.5994 N 83.1033 W		FEN_351_Phlyctis_speirea_Plate5_R1.fastq.gz
SRR14722038	SAMN19302671	35.5994 N 83.1033 W		FEN_350_Flavopunctelia_flaventior_Plate5_R1.fastq.gz
SRR14722039	SAMN19302670	35.65324 N 83.43169 W		FEN_320_S64_R1_001.fastq.gz
SRR14722040	SAMN19302472	35.61 N 83.4467 W		FEN_47_Arthonia_kermesina_Plate3_F1_R1.fastq.gz
SRR14722041	SAMN19302669	35.65324 N 83.43169 W		FEN_319_S63_R1_001.fastq.gz
SRR14722042	SAMN19302668			FEN_318_S62_R1_001.fastq.gz
SRR14722043	SAMN19302667	35.5325 N 83.4256 W		FEN_317_S61_R1_001.fastq.gz
SRR14722044	SAMN19302666	35.5394 N 83.4547 W		FEN_316_S60_R1_001.fastq.gz
SRR14722045	SAMN19302665	35.57954 N 83.15427 W		FEN_315_S59_R1_001.fastq.gz
SRR14722046	SAMN19302664	35.654972 N 83.445984 W		FEN_314_S58_R1_001.fastq.gz
SRR14722047	SAMN19302663	35.5575 N 83.7417 W		FEN_313_S57_R1_001.fastq.gz
SRR14722048	SAMN19302662	35.54919 N 83.50379 W		FEN_312_S56_R1_001.fastq.gz
SRR14722049	SAMN19302661	35.54919 N 83.50379 W		FEN_311_S55_R1_001.fastq.gz
SRR14722050	SAMN19302660	35.685 N 83.2714 W		FEN_310_S54_R1_001.fastq.gz
SRR14722051	SAMN19302471	35.585 N 83.4747 W		FEN_46_Xylographa_truncigena_Plate3_E1_R1.fastq.gz
SRR14722052	SAMN19302659	35.6431 N 83.8036 W		FEN_309_S53_R1_001.fastq.gz
SRR14722053	SAMN19302658	35.5411 N 83.5764 W		FEN_308_S52_R1_001.fastq.gz
SRR14722054	SAMN19302657	35.5411 N 83.5764 W		FEN_307_S51_R1_001.fastq.gz
SRR14722055	SAMN19302656	35.4961 N 83.6183 W		FEN_306_S50_R1_001.fastq.gz
SRR14722056	SAMN19302655	35.4961 N 83.6183 W		FEN_305_S49_R1_001.fastq.gz
SRR14722057	SAMN19302654	35.54919 N 83.50379 W		FEN_304_S48_R1_001.fastq.gz
SRR14722058	SAMN19302653	35.4961 N 83.6183 W		FEN_303_S47_R1_001.fastq.gz
SRR14722059	SAMN19302652			FEN_302_S46_R1_001.fastq.gz
SRR14722060	SAMN19302651	34.3828 N 85.6289 W		FEN_301_S45_R1_001.fastq.gz
SRR14722061	SAMN19302650	35.54919 N 83.50379 W		FEN_300_S44_R1_001.fastq.gz
SRR14722062	SAMN19302470	35.4675 N 83.5617 W		FEN_45_Fuscopannaria_leucosticta_Plate2_B1_R1.fastq.gz
SRR14722063	SAMN19302452	35.4828 N 83.5597 W		FEN_4_Parmelia_squarrosa_Plate1_D1_R1.fastq.gz
SRR14722064	SAMN19302649	35.65324 N 83.43169 W		FEN_299_S43_R1_001.fastq.gz
SRR14722065	SAMN19302648	35.65324 N 83.43169 W		FEN_298_S42_R1_001.fastq.gz
SRR14722066	SAMN19302647			FEN_297_S41_R1_001.fastq.gz
SRR14722067	SAMN19302646	34.3839 N 85.6306 W		FEN_296_S40_R1_001.fastq.gz
SRR14722068	SAMN19302645	35.5128 N 83.7206 W		FEN_295_S39_R1_001.fastq.gz
SRR14722069	SAMN19302644	34.3672 N 85.64 W		FEN_294_S38_R1_001.fastq.gz
SRR14722070	SAMN19302643	35.545 N 83.5828 W		FEN_293_S37_R1_001.fastq.gz
SRR14722071	SAMN19302642	35.6956 N 83.2486 W		FEN_292_S36_R1_001.fastq.gz
SRR14722072	SAMN19302641	35.4894 N 83.5608 W		FEN_291_S35_R1_001.fastq.gz
SRR14722073	SAMN19302640	35.76436 N 83.14492 W		FEN_290_S34_R1_001.fastq.gz
SRR14722074	SAMN19302469	35.4675 N 83.5617 W		FEN_44_Arthothelium_spectabile_Plate3_D1_R1.fastq.gz
SRR14722075	SAMN19302639	35.6431 N 83.8036 W		FEN_289_S33_R1_001.fastq.gz
SRR14722076	SAMN19302638	35.577503 N 83.15427 W		FEN_288_S32_R1_001.fastq.gz
SRR14722077	SAMN19302637	35.5394 N 83.4547 W		FEN_287_S31_R1_001.fastq.gz
SRR14722078	SAMN19302636	35.483513 N 83.81476 W		FEN_286_S30_R1_001.fastq.gz
SRR14722079	SAMN19302635	35.475204 N 83.81014 W	Tripp_6041_NY-2794319	FEN_285_S29_R1_001.fastq.gz
SRR14722080	SAMN19302634	35.475204 N 83.81014 W		FEN_284_S28_R1_001.fastq.gz
SRR14722081	SAMN19302633	35.475204 N 83.81014 W		FEN_283_S27_R1_001.fastq.gz
SRR14722082	SAMN19302632	35.483513 N 83.81476 W		FEN_282_S26_R1_001.fastq.gz
SRR14722083	SAMN19302631	35.483513 N 83.81476 W		FEN_281_S25_R1_001.fastq.gz
SRR14722084	SAMN19302630	35.475204 N 83.81014 W		FEN_280_S24_R1_001.fastq.gz
SRR14722085	SAMN19302468	35.4675 N 83.5617 W		FEN_43_Pseudosagedia_rhaphidospermum_Plate2_C1_R1.fastq.gz
SRR14722086	SAMN19302629	35.483513 N 83.81476 W	Tripp_6058_COLO-L-0051364	FEN_279_S23_R1_001.fastq.gz
SRR14722087	SAMN19302628	35.483513 N 83.81476 W		FEN_278_S22_R1_001.fastq.gz
SRR14722088	SAMN19302627	35.483513 N 83.81476 W		FEN_277_S21_R1_001.fastq.gz
SRR14722089	SAMN19302626	35.483513 N 83.81476 W		FEN_276_S20_R1_001.fastq.gz
SRR14722090	SAMN19302625	35.483513 N 83.81476 W	Tripp_6053_NY-2858381	FEN_275_S19_R1_001.fastq.gz
SRR14722091	SAMN19302624	35.475204 N 83.81014 W		FEN_274_S18_R1_001.fastq.gz
SRR14722092	SAMN19302623	35.483513 N 83.81476 W		FEN_273_S17_R1_001.fastq.gz
SRR14722093	SAMN19302622	35.475204 N 83.81014 W		FEN_272_S16_R1_001.fastq.gz
SRR14722094	SAMN19302621	35.483513 N 83.81476 W		FEN_271_S15_R1_001.fastq.gz
SRR14722095	SAMN19302620	35.483513 N 83.81476 W		FEN_270_S14_R1_001.fastq.gz
SRR14722096	SAMN19302467	35.4675 N 83.5617 W		FEN_42_Graphis_scripta_Plate3_C1_R1.fastq.gz
SRR14722097	SAMN19302619	35.475204 N 83.81014 W		FEN_269_S13_R1_001.fastq.gz
SRR14722098	SAMN19302618	35.483513 N 83.81476 W		FEN_268_S12_R1_001.fastq.gz
SRR14722099	SAMN19302617	35.483513 N 83.81476 W		FEN_267_S11_R1_001.fastq.gz
SRR14722100	SAMN19302616	35.475204 N 83.81014 W	Tripp_6040_COLO-L-0051344	FEN_266_S10_R1_001.fastq.gz
SRR14722101	SAMN19302615	35.483513 N 83.81476 W		FEN_265_S9_R1_001.fastq.gz
SRR14722102	SAMN19302614	35.475204 N 83.81014 W		FEN_264_S8_R1_001.fastq.gz
SRR14722103	SAMN19302613	35.483513 N 83.81476 W		FEN_263_S7_R1_001.fastq.gz
SRR14722104	SAMN19302612	35.475204 N 83.81014 W		FEN_262_S6_R1_001.fastq.gz
SRR14722105	SAMN19302611	35.483513 N 83.81476 W		FEN_261_S5_R1_001.fastq.gz
SRR14722106	SAMN19302610	35.483513 N 83.81476 W		FEN_260_S4_R1_001.fastq.gz
SRR14722107	SAMN19302466	35.4675 N 83.5617 W		FEN_41_Opegrapha_varia_Plate3_B1_R1.fastq.gz
SRR14722108	SAMN19302609	35.475204 N 83.81014 W		FEN_259_S3_R1_001.fastq.gz
SRR14722109	SAMN19302608	38.5569 N 78.395 W		FEN_258_S2_R1_001.fastq.gz
SRR14722110	SAMN19302607	38.2281 N 78.7506 W		FEN_257_S1_R1_001.fastq.gz
SRR14722111	SAMN19302606	35.0683 N 83.2386 W		FEN_256_Cystocoleus_ebeneus_Plate3_F7_R1.fastq.gz
SRR14722112	SAMN19302605	35.1097 N 83.1978 W	Lendemer_47364_NY-2795562	FEN_255_Sticta_sp_Plate3_E7_R1.fastq.gz
SRR14722113	SAMN19302604	35.7147 N 82.2694 W		FEN_254_Nephroma_resupinatum_Plate3_D7_R1.fastq.gz
SRR14722114	SAMN19302603	35.1356 N 83.1911 W		FEN_253_Cladonia_stipitata_Plate3_C7_R1.fastq.gz
SRR14722115	SAMN19302602	35.1356 N 83.1911 W		FEN_252_Usnea_halei_Plate3_B7_R1.fastq.gz
SRR14722116	SAMN19302601	35.4372 N 83.7481 W		FEN_251_Usnea_subscabrosa_Plate3_A7_R1.fastq.gz
SRR14722117	SAMN19302600	35.1356 N 83.1911 W		FEN_250_Cladonia_mateocyatha_Plate3_H6_R1.fastq.gz
SRR14722118	SAMN19302465	35.5631 N 83.4983 W		FEN_40_Bryoria_tenuis_Plate1_C5_R1.fastq.gz
SRR14722119	SAMN19302599	35.1356 N 83.1911 W		FEN_249_Cladonia_grayi_Plate3_G6_R1.fastq.gz
SRR14722120	SAMN19302598	35.1356 N 83.1911 W		FEN_248_Usnea_merrillii_Plate3_F6_R1.fastq.gz
SRR14722121	SAMN19302597	35.1356 N 83.1911 W		FEN_247_Cladonia_macilenta_Plate3_E6_R1.fastq.gz
SRR14722122	SAMN19302596	35.6261 N 83.5003 W		FEN_245_Ochrolechia_yasudae_Plate3_C6_R1.fastq.gz
SRR14722123	SAMN19302595	35.6261 N 83.5003 W		FEN_244_Micarea_bauschiana_Plate3_B6_R1.fastq.gz
SRR14722124	SAMN19302594	35.6261 N 83.5003 W		FEN_243_Melanelia_culbersonii_Plate3_A6_R1.fastq.gz
SRR14722125	SAMN19302593	35.6261 N 83.5003 W		FEN_242_Ionaspis_alba_Plate3_H5_R1.fastq.gz
SRR14722126	SAMN19302592	35.6261 N 83.5003 W		FEN_241_Biatora_chrysantha_Plate3_G5_R1.fastq.gz
SRR14722127	SAMN19302591	35.1356 N 83.1911 W		FEN_240_Xanthoparmelia_mexicana_Plate3_F5_R1.fastq.gz
SRR14722128	SAMN19302590	35.585 N 83.4747 W	Lendemer_46226_NY-2606722	FEN_239_Lecidella_sp_Plate3_E5_R1.fastq.gz
SRR14722129	SAMN19302464	35.5631 N 83.4983 W		FEN_39_Pseudevernia_cladonia_Plate1_B5_R1.fastq.gz
SRR14722130	SAMN19302589	35.4292 N 83.7547 W		FEN_238_Parmotrema_hypotropum_Plate3_D5_R1.fastq.gz
SRR14722131	SAMN19302588	35.4292 N 83.7547 W		FEN_237_Parmotrema_gardneri_Plate2_A2_R1.fastq.gz
SRR14722132	SAMN19302587	35.4069 N 83.7647 W		FEN_236_Anzia_colpodes_Plate2_B2_R1.fastq.gz
SRR14722133	SAMN19302586	35.4069 N 83.7647 W		FEN_235_Heterodermia_hypoleuca_Plate2_C2_R1.fastq.gz
SRR14722134	SAMN19302585	35.4069 N 83.7647 W		FEN_234_Absconditella_diluta_Plate3_B5_R1.fastq.gz
SRR14722135	SAMN19302584	35.4069 N 83.7647 W		FEN_233_Mycocalicium_subtile_Plate2_D2_R1.fastq.gz
SRR14722136	SAMN19302583	35.4072 N 83.5931 W		FEN_232_Pertusaria_ostiolata_Plate2_E2_R1.fastq.gz
SRR14722137	SAMN19302582	35.4072 N 83.5931 W		FEN_231_Leptogium_hirsutum_Plate2_F2_R1.fastq.gz
SRR14722138	SAMN19302581	35.4072 N 83.5931 W		FEN_230_Heterodermia_speciosa_Plate2_G2_R1.fastq.gz
SRR14722139	SAMN19302580	35.4072 N 83.5931 W		FEN_229_Parmotrema_cetratum_Plate2_H2_R1.fastq.gz
SRR14722140	SAMN19302463	35.5631 N 83.4983 W		FEN_38_Platismatia_tuckermanii_Plate1_A5_R1.fastq.gz
SRR14722141	SAMN19302579	35.4072 N 83.5931 W		FEN_228_Phaeophyscia_squarrosa_Plate2_A3_R1.fastq.gz
SRR14722142	SAMN19302578	35.4072 N 83.5931 W		FEN_227_Acrocordia_megalospora_Plate2_B3_R1.fastq.gz
SRR14722143	SAMN19302577	35.4072 N 83.5931 W		FEN_226_Opegrapha_viridis_Plate2_C3_R1.fastq.gz
SRR14722144	SAMN19302576	35.4072 N 83.5931 W		FEN_225_Heterodermia_appalachensis_Plate2_D3_R1.fastq.gz
SRR14722145	SAMN19302575	35.4072 N 83.5931 W		FEN_224_Leptogium_chloromelum_Plate2_E3_R1.fastq.gz
SRR14722146	SAMN19302574	35.4069 N 83.7647 W		FEN_223_Phaeocalicium_polyporaeum_Plate2_F3_R1.fastq.gz
SRR14722147	SAMN19302573	35.3669 N 83.6289 W		FEN_222_Byssoloma_subdiscordans_Plate2_G3_R1.fastq.gz
SRR14722148	SAMN19302572	35.4072 N 83.5931 W		FEN_221_Peltigera_neopolydactylon_Plate2_H3_R1.fastq.gz
SRR14722149	SAMN19302571	35.4072 N 83.5931 W	Lendemer_46965_NY-2794668	FEN_220_Peltigera_sp_Plate2_A4_R1.fastq.gz
SRR14722150	SAMN19302570	35.1356 N 83.1911 W		FEN_219_Cladonia__arbuscula_Plate2_B4_R1.fastq.gz
SRR14722151	SAMN19302462	35.585 N 83.4747 W		FEN_33_Usnocetraria_oakesiana_Plate1_D4_R1.fastq.gz
SRR14722152	SAMN19302569	35.4292 N 83.7547 W		FEN_218_Micarea_neostipitata_Plate2_C4_R1.fastq.gz
SRR14722153	SAMN19302568	35.4292 N 83.7547 W		FEN_217_Sarea_resinae_Plate3_A5_R1.fastq.gz
