Run	SampleName	ScientificName	Current_Determination	Basidiomycete.Hit.	processed
SRR14722166	FEN_205_Parmotrema_xanthinum_Plate2_G5_R1.fastq.gz	Parmotrema xanthinum	Parmotrema xanthinum	No	FALSE
SRR14722167	FEN_204_Dimelaena_oreina_Plate2_H5_R1.fastq.gz	Dimelaena oreina	Dimelaena oreina	No	FALSE
SRR14722168	FEN_203_Parmotrema_stuppeum_Plate2_A6_R1.fastq.gz	Parmotrema stuppeum	Parmotrema stuppeum	No	FALSE
SRR14722169	FEN_202_Punctelia_appalachensis_Plate2_B6_R1.fastq.gz	Punctelia appalachiensis	Punctelia appalachensis	No	FALSE
SRR14722170	FEN_201_Cladonia__rangiferina_Plate2_C6_R1.fastq.gz	Cladonia rangiferina	Cladonia rangiferina	No	FALSE
SRR14722171	FEN_200_Cladonia__uncialis_Plate2_D6_R1.fastq.gz	Cladonia uncialis	Cladonia uncialis	No	FALSE
SRR14722172	FEN_199_Chrysothrix_xanthina_Plate2_E6_R1.fastq.gz	Chrysothrix xanthina	Chrysothrix xanthina	No	FALSE
SRR14722173	FEN_31_Melanohalea_halei_Plate1_B4_R1.fastq.gz	Melanohalea halei	Melanohalea halei	No	FALSE
SRR14722174	FEN_3_Parmotrema_diffractaicum_Plate1_C1_R1.fastq.gz	Parmotrema diffractaicum	Parmotrema diffractaicum	No	FALSE
SRR14722175	FEN_2_Nephroma_helveticum_Plate1_B1_R1.fastq.gz	Nephroma helveticum	Nephroma helveticum	No	FALSE
SRR14722176	FEN_198_Caloplaca_feracissima_Plate3_H4_R1.fastq.gz	Xanthocarpia feracissima	Caloplaca feracissima	No	FALSE
SRR14722177	FEN_197_Biatora_appalachensis_Plate2_F6_R1.fastq.gz	Biatora appalachensis	Biatora appalachensis	No	FALSE
SRR14722178	FEN_196_Schismatomma_glaucescens_Plate3_G4_R1.fastq.gz	Schismatomma glaucescens	Schismatomma glaucescens	No	FALSE
SRR14722179	FEN_195_Porina_heterospora_Plate3_F4_R1.fastq.gz	Porina heterospora	Porina heterospora	No	FALSE
SRR14722180	FEN_194_Unknown_Plate2_G6_R1.fastq.gz	fungal sp. Lendemer_46730_NY-2794914	Gomphillaceae	No	FALSE
SRR14722181	FEN_193_Gomphillus_calycioides_Plate2_H6_R1.fastq.gz	Gomphillus calycioides	Gomphillus calycioides	No	FALSE
SRR14722182	FEN_192_Chaenotheca_balsamconensis_Plate3_E4_R1.fastq.gz	Chaenotheca balsamconensis	Chaenotheca balsamconensis	No	FALSE
SRR14722183	FEN_191_Chaenotheca_furfuracea_Plate3_D4_R1.fastq.gz	Chaenotheca furfuracea	Chaenotheca furfuracea 	No	FALSE
SRR14722184	FEN_186_Lecanora_hybocarpa_Plate3_C4_R1.fastq.gz	Lecanora hybocarpa	Lecanora hybocarpa	No	FALSE
SRR14722185	FEN_153_Mycobilimbia_sp_Plate3_B4_R1.fastq.gz	Mycobilimbia sp. Lendemer_46123_NY-2606825	Mycoblimbia	No	FALSE
SRR14722186	FEN_30_Lepra_pustulata_Plate3_A1_R1.fastq.gz	Lepra pustulata	Lepra pustulata	No	FALSE
SRR14722187	FEN_152_Lepraria_xanthonica_Plate3_A4_R1.fastq.gz	Lepraria xanthonica	Lepraria xanthonica	No	FALSE
SRR14722188	FEN_136_Xylographa_vitiligo_Plate3_H3_R1.fastq.gz	Xylographa vitiligo	Xylographa vitiligo	No	FALSE
SRR14722195	FEN_116_Bacidia_schweinitzii_Plate3_G3_R1.fastq.gz	Bacidia schweinitzii	Bacidia schweinitzii	No	FALSE
SRR14722197	FEN_29_Leptogium_corticola_Plate1_A4_R1.fastq.gz	Leptogium corticola	Leptogium corticola	No	FALSE
SRR14722200	FEN_112_Arthonia_vinosa_Plate3_F3_R1.fastq.gz	Arthonia vinosa	Arthonia vinosa	No	FALSE
SRR14722201	FEN_111_Lecidea_nylanderi_Plate3_E3_R1.fastq.gz	Lecidea nylanderi	Lecidea nylanderi	No	FALSE
