Run	SampleName	ScientificName	Current_Determination	Basidiomycete.Hit.	processed
SRR14721930	FEN_451_Leptogium_corticola_Plate6_R1.fastq.gz	Leptogium corticola	Leptogium corticola	No	FALSE
SRR14721931	FEN_450_Phaeophyscia_rubropulchra_Plate6_R1.fastq.gz	Phaeophyscia rubropulchra	Phaeophyscia rubropulchra	No	FALSE
SRR14721932	FEN_449_Thelotrema_subtile_Plate6_R1.fastq.gz	Thelotrema subtile	Thelotrema subtile	No	FALSE
SRR14721933	FEN_448_Bathelium_carolinianum_Plate6_R1.fastq.gz	Bathelium carolinianum	Bathelium carolinianum	No	FALSE
SRR14721934	FEN_447_Tylophoron_americanum_Plate6_R1.fastq.gz	Sporodophoron americanum	Tylophoron americanum	No	FALSE
SRR14721935	FEN_446_Parmotrema_submarginale_Plate6_R1.fastq.gz	Parmotrema submarginale	Parmotrema submarginale	No	FALSE
SRR14721936	FEN_445_Cladonia_peziziformis_Plate6_R1.fastq.gz	Cladonia peziziformis	Cladonia peziziformis	No	FALSE
SRR14721937	FEN_444_Dermatocarpon_luridum_Plate6_R1.fastq.gz	Dermatocarpon luridum	Dermarocarpon luridum	No	FALSE
SRR14721938	FEN_443_Anaptychia_palmulata_Plate6_R1.fastq.gz	Anaptychia palmatula	Anaptychia palmulata	No	FALSE
SRR14721939	FEN_442_Cladonia_polycarpoides_Plate6_R1.fastq.gz	Cladonia polycarpoides	Cladonia polycarpoides	No	FALSE
SRR14721941	FEN_441_Porpidia_subsimplex_Plate6_R1.fastq.gz	Porpidia subsimplex	Porpidia subsimplex	No	FALSE
SRR14721942	FEN_440_Bulbothrix_scortella_Plate6_R1.fastq.gz	Bulbothrix scortella	Bulbothrix scortella	No	FALSE
SRR14721943	FEN_439_Parmotrema_neotropicum_Plate6_R1.fastq.gz	Parmotrema neotropicum	Parmotrema neotropicum	No	FALSE
SRR14721944	FEN_438_Pyrrhospora_varians_Plate6_R1.fastq.gz	Pyrrhospora varians	Pyrrhospora varians	No	FALSE
SRR14721945	FEN_437_Trapelia_placodioides_Plate6_R1.fastq.gz	Trapelia placodioides	Trapelia placodioides	No	FALSE
SRR14721946	FEN_436_Thelotrema_defectum_Plate6_R1.fastq.gz	Thelotrema defectum	Thelotrema defectum	No	FALSE
SRR14721947	FEN_435_Usnea_mutabilis_Plate6_R1.fastq.gz	Usnea mutabilis	Usnea mutabilis	No	FALSE
SRR14721948	FEN_434_Porpidia_albocaerulescens_Plate6_R1.fastq.gz	Porpidia albocaerulescens	Porpidia albocaerulescens	No	FALSE
SRR14721949	FEN_433_Lecanora_orienoides_Plate6_R1.fastq.gz	Buellia spuria	Lecanora oreinoides	No	FALSE
SRR14721950	FEN_432_Pseudosagedia_chlorotica_Plate6_R1.fastq.gz	Myelochroa obsessa	Myelochroa obsessa	No	FALSE
SRR14721952	FEN_9_Cladonia_ochrochlora_Plate1_A2_R1.fastq.gz	Cladonia ochrochlora	Cladonia ochrochlora	No	FALSE
SRR14721953	FEN_431_Pannaria_tavaresii_Plate6_R1.fastq.gz	Pannaria tavaresii	Pannaria tavaresii	No	FALSE
SRR14721954	FEN_430_Collema_furfuraceum_Plate6_R1.fastq.gz	Collema furfuraceum	Collema furfuraceum	No	FALSE
SRR14721955	FEN_429_Halecania_sp_Plate6_R1.fastq.gz	Halecania pepegospora	Helecania pepegospora	No	FALSE
SRR14721956	FEN_428_Parmotrema_ultralucens_Plate6_R1.fastq.gz	Parmotrema ultralucens	Parmotrema ultralucens	No	FALSE
SRR14721957	FEN_427_Ephebe_solida_Plate6_R1.fastq.gz	Ephebe solida	Ephebe solida	No	FALSE
SRR14721958	FEN_426_Dibaeis_absoluta_Plate6_R1.fastq.gz	Dibaeis absoluta	Dibaeis absoluta	No	FALSE
SRR14721959	FEN_425_Ionaspis_lacustris_Plate6_R1.fastq.gz	Ionaspis lacustris	Ionaspis lacustris	No	FALSE
SRR14721960	FEN_424_Phyllopsora_corallina_Plate6_R1.fastq.gz	Phyllopsora corallina	Phyllopsora corallina	No	FALSE
SRR14721961	FEN_423_Dermatocarpon_muhlenbergii_Plate6_R1.fastq.gz	Dermatocarpon muhlenbergii	Dermatocarpon muhlenbergii	No	FALSE
SRR14721962	FEN_422_Ramalina_intermedia_Plate6_R1.fastq.gz	Ramalina petrina	Ramalina petrina	No	FALSE
SRR14721964	FEN_421_Phyllopsora_parvifolia_Plate6_R1.fastq.gz	Phyllopsora parvifolia	Phyllopsora parvifolia	No	FALSE
SRR14721965	FEN_420_Cladonia_petrophila_Plate6_R1.fastq.gz	Cladonia petrophila	Cladonia petrophila	No	FALSE
SRR14721966	FEN_419_Opegrapha_moroziana_Plate6_R1.fastq.gz	Opegrapha moroziana	Opegrapha moroziana	No	FALSE
SRR14721967	FEN_418_Phaeophyscia_adiastola_Plate6_R1.fastq.gz	Phaeophyscia adiastola	Phaeophyscia adiastola	No	FALSE
SRR14721968	FEN_417_Botryolepraria_lesdainii_Plate6_R1.fastq.gz	Botryolepraria lesdainii	Botryolepraria lesdainii	No	FALSE
SRR14721969	FEN_416_Chrysothrix_onokoensis_Plate5_R1.fastq.gz	Chrysothrix onokoensis	Chrysothrix onokoensis	No	FALSE
SRR14721970	FEN_415_Leucodecton_sp_Plate5_R1.fastq.gz	Leucodecton sp. Tripp_6156_NY-2796959	Leucodecton	No	FALSE
SRR14721971	FEN_414_Porina_heterospora_Plate5_R1.fastq.gz	Porina heterospora	Porina heterospora	No	FALSE
SRR14721972	FEN_413_Sticta_caroliniana_Plate5_R1.fastq.gz	Sticta carolinensis	Sticta carolinensis	No	FALSE
SRR14721973	FEN_412_Fissurina_insidiosa_Plate5_R1.fastq.gz	Fissurina insidiosa	Fissurina insidiosa	No	FALSE
SRR14721974	FEN_57_Everniastrum_catawbiense_Plate1_D6_R1.fastq.gz	Hypotrachyna catawbiensis	Hypotrachyna catawbiensis	No	FALSE
SRR14721975	FEN_411_Leptogium_cyanescens_Plate5_R1.fastq.gz	Leptogium cyanescens	Leptogium cyanescens	No	FALSE
SRR14721976	FEN_410_Porina_scabrida_Plate5_R1.fastq.gz	Porina scabrida	Porina scabrida	No	FALSE
SRR14721977	FEN_409_Pseudosagedia_cestrensis_Plate5_R1.fastq.gz	Pseudosagedia cestrensis	Pseudosagedia cestrensis	No	FALSE
SRR14721978	FEN_408_Arthonia_rubella_Plate5_R1.fastq.gz	Arthonia rubella	Arthonia rubella	No	FALSE
SRR14721979	FEN_407_Parmotrema_tinctorum_Plate5_R1.fastq.gz	Parmotrema tinctorum	Parmotrema tinctorum	No	FALSE
SRR14721980	FEN_406_Aspicilia_laevata_Plate5_R1.fastq.gz	Aspicilia laevata	Aspicilia laevata	No	FALSE
SRR14721981	FEN_405_Pyxine_albovirens_Plate5_R1.fastq.gz	Pyxine albovirens	Pyxine albovirens	No	FALSE
SRR14721982	FEN_404_Unknown_Plate5_R1.fastq.gz	fungal sp. Lendemer_49042_NY-3033146	Sterile sorediate crust	No	FALSE
SRR14721983	FEN_403_Gyalecta_farlowii_Plate5_R1.fastq.gz	Gyalecta farlowii	Gyalecta farlowii	No	FALSE
SRR14721984	FEN_402_Pertusaria_plittiana_Plate5_R1.fastq.gz	Pertusaria plittiana	Pertusaria plittiana	No	FALSE
SRR14721985	FEN_56_Imshaugia_aleurites_Plate1_C6_R1.fastq.gz	Imshaugia aleurites	Imshaugia aleurites	No	FALSE
SRR14721986	FEN_401_Dirinaria_frostii_Plate5_R1.fastq.gz	Dirinaria frostii	Dirinaria frostii	No	FALSE
SRR14721987	FEN_400_Lecanora_saxigena_Plate5_R1.fastq.gz	Lecanora subimmergens	Lecanora subimmergens	No	FALSE
SRR14721988	FEN_399_Chrysothrix_xanthina_Plate5_R1.fastq.gz	Chrysothrix xanthina	Chrysothrix xanthina	No	FALSE
SRR14721989	FEN_398_Heterodermia_granulifera_Plate5_R1.fastq.gz	Heterodermia granulifera	Heterodermia granulifera	No	FALSE
SRR14721990	FEN_397_Myelochroa_obsessa_Plate5_R1.fastq.gz	Pyxine sorediata	Pyxine sorediata	No	FALSE
SRR14721991	FEN_396_Rinodina_sp_Plate5_R1.fastq.gz	Rinodina dolichospora	Rinodina dolichospora	No	FALSE
SRR14721992	FEN_395_Flavoparmelia_baltimorensis_Plate5_R1.fastq.gz	Flavoparmelia baltimorensis	Flavoparmelia baltimorensis	No	FALSE
SRR14721993	FEN_394_Unknown_Plate5_R1.fastq.gz	fungal sp. Lendemer_48835_NY-3720155	ssc	No	FALSE
SRR14721994	FEN_393_Lecanora_nothocaesiella_Plate5_R1.fastq.gz	Bacidia sp. Lendemer_48883_NY-3033306	Bacidia	No	FALSE
SRR14721995	FEN_392_Lepra_amara_Plate5_R1.fastq.gz	Lepra amara	Lepra amara	No	FALSE
SRR14721996	FEN_55_Hypogymnia_vittata_Plate1_B6_R1.fastq.gz	Hypogymnia vittata	Hypogymnia vittata	No	FALSE
SRR14721997	FEN_391_Parmotrema_simulans_Plate5_R1.fastq.gz	Parmotrema simulans	Parmotrema simulans	No	FALSE
SRR14721998	FEN_390_Lepraria_normandinoides_Plate5_R1.fastq.gz	Lepraria normandinoides	Lepraria normandinoides race protocetraric acid	No	FALSE
SRR14721999	FEN_389_Ochrolechia_trochophora_Plate5_R1.fastq.gz	Ochrolechia trochophora	Ochrolechia trochophora	No	FALSE
SRR14722000	FEN_388_Parmotrema_mellissii_Plate5_R1.fastq.gz	Parmotrema mellissii	Parmotrema mellissii	No	FALSE
SRR14722001	FEN_387_Bacidia_sorediata_Plate5_R1.fastq.gz	Bacidia sorediata	Bacidia sorediata	No	FALSE
SRR14722002	FEN_386_Hypotrachyna_lividescens_Plate5_R1.fastq.gz	Hypotrachyna lividescens	Hypotrachyna lividescens	No	FALSE
SRR14722003	FEN_385_Ramalina_culbersoniorum_Plate5_R1.fastq.gz	Ramalina culbersoniorum	Ramalina culbersoniorum	No	FALSE
SRR14722004	FEN_384_Cetrelia_chicitae_Plate5_R1.fastq.gz	Cetrelia chicitae	Cetrelia chicitae	No	FALSE
SRR14722005	FEN_383_Heterodermia_neglecta_Plate5_R1.fastq.gz	Heterodermia neglecta	Heterodermia neglecta	No	FALSE
SRR14722006	FEN_382_Cetrelia_olivetorum_Plate5_R1.fastq.gz	Cetrelia olivetorum	Cetrelia olivetorum	No	FALSE
SRR14722007	FEN_54_Platismatia_glauca_Plate1_A6_R1.fastq.gz	Platismatia glauca	Platismatia glauca	No	FALSE
SRR14722008	FEN_381_Sticta_fragillinata_Plate5_R1.fastq.gz	Sticta fragilinata	Sticta fragilinata	No	FALSE
SRR14722009	FEN_380_Cladonia_apodocarpa_Plate5_R1.fastq.gz	Cladonia apodocarpa	Cladonia apodocarpa	No	FALSE
SRR14722010	FEN_379_Pertusaria_propinqua_Plate5_R1.fastq.gz	Pertusaria propinqua	Pertusaria propinqua	No	FALSE
SRR14722011	FEN_378_Biatora_longispora_Plate5_R1.fastq.gz	Biatora longispora	Biatora longispora	No	FALSE
SRR14722012	FEN_377_Conotrema_urceolatum_Plate5_R1.fastq.gz	Stictis urceolatum	Conotrema urceolatum	No	FALSE
SRR14722013	FEN_376_Biatora_pontica_Plate5_R1.fastq.gz	Biatora pontica	Biatora pontica	No	FALSE
SRR14722014	FEN_375_Hypotrachyna_minarum_Plate5_R1.fastq.gz	Hypotrachyna minarum	Hypotrachyna minarum	No	FALSE
SRR14722015	FEN_374_Leptogium_corticola_Plate5_R1.fastq.gz	Leptogium corticola	Leeptogium corticola	No	FALSE
SRR14722016	FEN_373_Umbilicaria_mammulata_Plate5_R1.fastq.gz	Umbilicaria mammulata	Umbilicaria mammulata	No	FALSE
SRR14722017	FEN_372_Heterodermia_squamulosa_Plate5_R1.fastq.gz	Heterodermia squamulosa	Heterodermia squamulosa	No	FALSE
SRR14722018	FEN_49_Lepraria_oxybapha_Plate1_D5_R1.fastq.gz	Lepraria oxybapha	Lepraria oxybapha	No	FALSE
SRR14722019	FEN_371_Dendriscocaulon_intricatulum_Plate5_R1.fastq.gz	Dendriscocaulon intricatulum	Dendriscocaulon intricatulum	No	FALSE
SRR14722020	FEN_370_Parmotrema_critinum_Plate5_R1.fastq.gz	Parmotrema crinitum	Parmotrema crinitum	No	FALSE
SRR14722021	FEN_369_Parmotrema_perlatum_Plate5_R1.fastq.gz	Parmotrema perlatum	Parmotrema perlatum	No	FALSE
SRR14722022	FEN_368_Usnea_subgracilis_Plate5_R1.fastq.gz	Usnea subgracilis	Usnea subgracilis	Yes	FALSE
SRR14722023	FEN_367_Usnea_ceratina_Plate5_R1.fastq.gz	Usnea ceratina	Usnea ceratina	No	FALSE
SRR14722024	FEN_366_Dermiscellum_oulocheilum_Plate5_R1.fastq.gz	Dermiscellum oulocheilum	Dermiscellum oulocheilum	No	FALSE
SRR14722025	FEN_365_Collema_conglomeratum_Plate5_R1.fastq.gz	Enchylium conglomeratum	Collema conglomeratum	No	FALSE
SRR14722026	FEN_364_Tuckermanopsis_ciliaris_Plate5_R1.fastq.gz	Tuckermannopsis ciliaris	Tuckermanopsis ciliaris	No	FALSE
SRR14722027	FEN_363_Ahtiana_aurescens_Plate5_R1.fastq.gz	Ahtiana aurescens	Ahtiana aurescens	No	FALSE
SRR14722028	FEN_362_Parmotrema_reticulatum_Plate5_R1.fastq.gz	Parmotrema reticulatum	Parmotrema reticulatum	No	FALSE
SRR14722029	FEN_48_Arthonia_kermesina_Plate3_G1_R1.fastq.gz	Arthonia kermesina	Coniarthonia kermesina	No	FALSE
SRR14722030	FEN_361_Parmelia_squarrosa_Plate5_R1.fastq.gz	Parmelia squarrosa	Parmelia squarosa	No	FALSE
SRR14722031	FEN_360_Ramalina_americana_Plate5_R1.fastq.gz	Ramalina americana	Ramalina americana	No	FALSE
SRR14722032	FEN_356_Platismatia_tuckermanii_Plate5_R1.fastq.gz	Platismatia tuckermanii	Platismatia tuckermanii	No	FALSE
SRR14722033	FEN_355_Lecanora_pseudistera_Plate5_R1.fastq.gz	Lecanora pseudistera	Lecanora pseudistera	No	FALSE
SRR14722034	FEN_354_Lepraria_jackii_Plate5_R1.fastq.gz	Lepraria caesiella	Lepraria caesiella	No	FALSE
SRR14722035	FEN_353_Melanohalea_halei_Plate5_R1.fastq.gz	Melanohalea halei	Melanohalea halei	No	FALSE
SRR14722036	FEN_352_Phaeophyscia_hispidula_Plate5_R1.fastq.gz	Phaeophyscia hispidula	Phaeophyscia hispidula	No	FALSE
SRR14722037	FEN_351_Phlyctis_speirea_Plate5_R1.fastq.gz	Phlyctis speirea	Phlyctis speirea	No	FALSE
SRR14722038	FEN_350_Flavopunctelia_flaventior_Plate5_R1.fastq.gz	Flavopunctelia flaventior	Flavopunctelia flaventior	No	FALSE
SRR14722039	FEN_320_S64_R1_001.fastq.gz	Trapeliopsis flexuosa	Trapeliopsis flexuosa	No	FALSE
SRR14722040	FEN_47_Arthonia_kermesina_Plate3_F1_R1.fastq.gz	Arthonia kermesina	Coniarthonia kermesina	No	FALSE
SRR14722041	FEN_319_S63_R1_001.fastq.gz	Stereocaulon dactylophyllum	Stereocaulon dactylophyllum	No	FALSE
SRR14722042	FEN_318_S62_R1_001.fastq.gz	Scoliciosporum umbrinum	Scoliciosporum umbrinum	No	FALSE
SRR14722043	FEN_317_S61_R1_001.fastq.gz	Rinodina tephraspis	Rinodina tephraspis	No	FALSE
SRR14722044	FEN_316_S60_R1_001.fastq.gz	Rinodina chrysidiata	Rinodina chrysidiata	No	FALSE
SRR14722045	FEN_315_S59_R1_001.fastq.gz	Rinodina ascociscana	Rinodina ascociscana	No	FALSE
SRR14722046	FEN_314_S58_R1_001.fastq.gz	Rhizocarpon geographicum	Rhizocarpon geographicum	No	FALSE
SRR14722047	FEN_313_S57_R1_001.fastq.gz	Heterodermia leucomelaena	Heterodermia leucomela	Yes	FALSE
SRR14722048	FEN_312_S56_R1_001.fastq.gz	Pyrenula subelliptica	Pyrenula subelliptica	No	FALSE
SRR14722049	FEN_311_S55_R1_001.fastq.gz	Porpidia macrocarpa	Porpidia macrocarpa	No	FALSE
SRR14722050	FEN_310_S54_R1_001.fastq.gz	Porpidia crustulata	Porpidia crustulata	No	FALSE
SRR14722051	FEN_46_Xylographa_truncigena_Plate3_E1_R1.fastq.gz	Xylographa trunciseda	Xylographa trunciseda	No	FALSE
SRR14722052	FEN_309_S53_R1_001.fastq.gz	Physconia leucoleiptes	Physconia leucoleiptes	No	FALSE
SRR14722053	FEN_308_S52_R1_001.fastq.gz	Phlyctis boliviensis	Phlyctis boliviensis	No	FALSE
SRR14722054	FEN_307_S51_R1_001.fastq.gz	Phaeophyscia rubropulchra	Phaeophyscia rubropulchra	No	FALSE
SRR14722055	FEN_306_S50_R1_001.fastq.gz	Pertusaria rubefacta	Pertusaria rubefacta	No	FALSE
SRR14722056	FEN_305_S49_R1_001.fastq.gz	Pertusaria plittiana	Pertusaria plittiana	No	FALSE
SRR14722057	FEN_304_S48_R1_001.fastq.gz	Cladonia squamosa	Cladonia squamosa	No	FALSE
SRR14722058	FEN_303_S47_R1_001.fastq.gz	Umbilicaria mammulata	Umbilicaria mammulata	No	FALSE
SRR14722059	FEN_302_S46_R1_001.fastq.gz	Tuckermannopsis ciliaris	Tuckermanopsis ciliaris	No	FALSE
SRR14722060	FEN_301_S45_R1_001.fastq.gz	Nigrovothelium tropicum	Trypethelium tropicum	No	FALSE
SRR14722061	FEN_300_S44_R1_001.fastq.gz	Pyrenula pseudobufonia	Pyrenula pseudobufonia	No	FALSE
SRR14722062	FEN_45_Fuscopannaria_leucosticta_Plate2_B1_R1.fastq.gz	Fuscopannaria leucosticta	Fuscopannaria leucosticta	No	FALSE
SRR14722063	FEN_4_Parmelia_squarrosa_Plate1_D1_R1.fastq.gz	Parmelia squarrosa	Parmelia squarrosa	No	FALSE
SRR14722064	FEN_299_S43_R1_001.fastq.gz	Porpidia contraponenda	Porpidia contraponenda	No	FALSE
SRR14722065	FEN_298_S42_R1_001.fastq.gz	Polysporina simplex	Polysporina simplex	No	FALSE
SRR14722066	FEN_297_S41_R1_001.fastq.gz	Pilophorus fibula	Pilophorus fibula	No	FALSE
SRR14722067	FEN_296_S40_R1_001.fastq.gz	Pertusaria epixantha	Pertusaria epixantha	No	FALSE
SRR14722068	FEN_295_S39_R1_001.fastq.gz	Parmotrema neotropicum	Parmotrema neotropicum	No	FALSE
SRR14722069	FEN_294_S38_R1_001.fastq.gz	Parmotrema subisidiosum	Parmotrema subisidiosum	No	FALSE
SRR14722070	FEN_293_S37_R1_001.fastq.gz	Botryolepraria lesdainii	Botryolepraria lesdainii	No	FALSE
SRR14722071	FEN_292_S36_R1_001.fastq.gz	Arthonia cupressina	Arthonia cupressina	No	FALSE
SRR14722072	FEN_291_S35_R1_001.fastq.gz	Brigantiaea leucoxantha	Brigantaea leucoxantha	No	FALSE
SRR14722073	FEN_290_S34_R1_001.fastq.gz	Parmotrema mellissii	Parmotrema mellissii	No	FALSE
SRR14722074	FEN_44_Arthothelium_spectabile_Plate3_D1_R1.fastq.gz	Arthothelium spectabile	Arthothelium spectabile	No	FALSE
SRR14722075	FEN_289_S33_R1_001.fastq.gz	Parmotrema margaritatum	Parmotrema margaritatum	No	FALSE
SRR14722076	FEN_288_S32_R1_001.fastq.gz	Peltigera phyllidiosa	Peltigera phyllidiosa	No	FALSE
SRR14722077	FEN_287_S31_R1_001.fastq.gz	Parmotrema reticulatum	Parmotrema reticulatum	No	FALSE
SRR14722078	FEN_286_S30_R1_001.fastq.gz	Lecanora oreinoides	Lecanora oreinoides	No	FALSE
SRR14722079	FEN_285_S29_R1_001.fastq.gz	Pyrrhospora varians	Pyrrhospora varians	No	FALSE
SRR14722080	FEN_284_S28_R1_001.fastq.gz	Cladonia didyma	Cladonia didyma	No	FALSE
SRR14722081	FEN_283_S27_R1_001.fastq.gz	Heterodermia appalachiensis	Heterodermia appalachensis	No	FALSE
SRR14722082	FEN_282_S26_R1_001.fastq.gz	Cladonia mateocyatha	Cladonia mateocyatha	No	FALSE
SRR14722083	FEN_281_S25_R1_001.fastq.gz	Buellia spuria	Buellia spuria	No	FALSE
SRR14722084	FEN_280_S24_R1_001.fastq.gz	Cladonia squamosa	Cladonia squamosa	No	FALSE
SRR14722085	FEN_43_Pseudosagedia_rhaphidospermum_Plate2_C1_R1.fastq.gz	Pseudosagedia rhaphidosperma	Pseudosagedia rhaphidosperma	No	FALSE
SRR14722086	FEN_279_S23_R1_001.fastq.gz	fungal sp. Tripp_6058_COLO-L-0051364	ssc	No	FALSE
SRR14722087	FEN_278_S22_R1_001.fastq.gz	Cladonia stipitata	Cladonia stipitata	No	FALSE
SRR14722088	FEN_277_S21_R1_001.fastq.gz	Cladonia uncialis	Cladonia uncialis	No	FALSE
SRR14722089	FEN_276_S20_R1_001.fastq.gz	Diploschistes scruposus	Diploschistes scriposus	No	FALSE
SRR14722090	FEN_275_S19_R1_001.fastq.gz	Acarospora sp. Tripp_6053_NY-2858381	Acarospora	No	FALSE
SRR14722091	FEN_274_S18_R1_001.fastq.gz	Placidium arboreum	Placidium arboreum	No	FALSE
SRR14722092	FEN_273_S17_R1_001.fastq.gz	Chrysothrix susquehannensis	Chrysothrix susquehannensis	No	FALSE
SRR14722093	FEN_272_S16_R1_001.fastq.gz	Porina scabrida	Porina scabrida	No	FALSE
SRR14722094	FEN_271_S15_R1_001.fastq.gz	Usnea strigosa	Usnea strigosa	Yes	FALSE
SRR14722095	FEN_270_S14_R1_001.fastq.gz	Umbilicaria papulosa	Lasallia papulosa	No	FALSE
SRR14722096	FEN_42_Graphis_scripta_Plate3_C1_R1.fastq.gz	Graphis scripta	Graphis scripta	No	FALSE
SRR14722097	FEN_269_S13_R1_001.fastq.gz	Physcia americana	Physcia americana	No	FALSE
SRR14722098	FEN_268_S12_R1_001.fastq.gz	Acarospora sinopica	Acarospora sinopica	No	FALSE
SRR14722099	FEN_267_S11_R1_001.fastq.gz	Cladonia pyxidata	Cladonia pyxidata	No	FALSE
SRR14722100	FEN_266_S10_R1_001.fastq.gz	Anisomeridium sp. Tripp_6040_COLO-L-0051344	Anosomeridium sp.	No	FALSE
SRR14722101	FEN_265_S9_R1_001.fastq.gz	Cladonia strepsilis	Cladonia strepsilis	No	FALSE
SRR14722102	FEN_264_S8_R1_001.fastq.gz	Solitaria chrysophthalma	Caloplaca chrysophthalma	No	FALSE
SRR14722103	FEN_263_S7_R1_001.fastq.gz	Cladonia coccifera	Cladonia coccifera	No	FALSE
SRR14722104	FEN_262_S6_R1_001.fastq.gz	Parmotrema hypotropum	Parmotrema hypotropum	Yes	FALSE
SRR14722105	FEN_261_S5_R1_001.fastq.gz	Buellia spuria	Buellia spuria	No	FALSE
SRR14722106	FEN_260_S4_R1_001.fastq.gz	Flavoparmelia baltimorensis	Flavoparmelia baltimorensis	No	FALSE
SRR14722107	FEN_41_Opegrapha_varia_Plate3_B1_R1.fastq.gz	Alyxoria varia	Opegrapha varia	No	FALSE
SRR14722108	FEN_259_S3_R1_001.fastq.gz	Parmotrema subsumptum	Parmotrema subsumptum	No	FALSE
SRR14722109	FEN_258_S2_R1_001.fastq.gz	Pertusaria andersoniae	Pertusaria andersoniae	No	FALSE
SRR14722110	FEN_257_S1_R1_001.fastq.gz	Physconia subpallida	Physconia subpallida	No	FALSE
SRR14722111	FEN_256_Cystocoleus_ebeneus_Plate3_F7_R1.fastq.gz	Cystocoleus ebeneus	Cystocoleus ebeneus	No	FALSE
SRR14722112	FEN_255_Sticta_sp_Plate3_E7_R1.fastq.gz	Sticta sp. Lendemer_47364_NY-2795562	Sticta	No	FALSE
SRR14722113	FEN_254_Nephroma_resupinatum_Plate3_D7_R1.fastq.gz	Nephroma helveticum	Nephroma helveticum	No	FALSE
SRR14722114	FEN_253_Cladonia_stipitata_Plate3_C7_R1.fastq.gz	Cladonia stipitata	Cladonia stipitata	No	FALSE
SRR14722115	FEN_252_Usnea_halei_Plate3_B7_R1.fastq.gz	Usnea halei	Usnea halei	No	FALSE
SRR14722116	FEN_251_Usnea_subscabrosa_Plate3_A7_R1.fastq.gz	Usnea subscabrosa	Usnea subscabrosa	No	FALSE
SRR14722117	FEN_250_Cladonia_mateocyatha_Plate3_H6_R1.fastq.gz	Cladonia mateocyatha	Cladonia mateocyatha	No	FALSE
SRR14722118	FEN_40_Bryoria_tenuis_Plate1_C5_R1.fastq.gz	Bryoria tenuis	Bryoria tenuis	No	FALSE
SRR14722119	FEN_249_Cladonia_grayi_Plate3_G6_R1.fastq.gz	Cladonia grayi	Cladonia grayi	No	FALSE
SRR14722120	FEN_248_Usnea_merrillii_Plate3_F6_R1.fastq.gz	Usnea merrillii	Usnea merrillii	No	FALSE
SRR14722121	FEN_247_Cladonia_macilenta_Plate3_E6_R1.fastq.gz	Cladonia macilenta	Cladonia macilenta v. bacillaris	No	FALSE
SRR14722122	FEN_245_Ochrolechia_yasudae_Plate3_C6_R1.fastq.gz	Ochrolechia yasudae	Ochrolechia yasudae	No	FALSE
