run_accession	sample_accession	location	isolate	sample_alias
SRR11456913	SAMN14483417	58.0 N 111.0 W		JL33
SRR11456914	SAMN14483416	58.0 N 111.0 W		JL31
SRR11456915	SAMN14483415	58.0 N 111.0 W		JL23
SRR11456916	SAMN14483414	59.0 N 15.0 E		NOS
SRR11456917	SAMN14483413	35.0 N 84.0 W		NMS9
SRR11456918	SAMN14483412	8.8 N 82.55 W		NMS8
SRR11456919	SAMN14483411	68.0 N 24.0 E		NMS7
SRR11456920	SAMN14483410	68.0 N 24.0 E		NMS4
SRR11456921	SAMN14483418	47.0 N 88.0 W		JL34
SRR11456922	SAMN14483409	46.0 N 63.0 W		NMS2
SRR11456923	SAMN14483408	45.0 N 63.0 W		NMS1
