type	metagenome	Acetobacteraceae	Acidobacteriaceae	Beijerinckiaceae	Sphingomonadaceae	Trebouxiophyceae	Cystobasidiomycetes	Tremellomycetes
reads	SRR14722132	1	1	1	1	1	0	1
reads	SRR14722133	1	1	1	1	1	0	0
reads	SRR14722135	1	1	1	1	1	1	1
reads	SRR14722136	1	1	1	1	1	0	0
reads	SRR14722137	1	1	1	1	1	0	0
reads	SRR14722138	1	1	1	1	1	0	0
reads	SRR14722139	1	1	1	1	1	0	1
reads	SRR14722140	1	1	1	1	1	0	1
reads	SRR14722141	1	1	1	1	1	0	0
reads	SRR14722143	1	1	1	1	1	0	1
reads	SRR14722144	1	1	1	1	1	0	1
reads	SRR14722145	1	1	1	1	1	0	0
reads	SRR14722147	1	1	1	1	1	1	1
reads	SRR14722149	1	1	1	1	1	0	1
reads	SRR14722150	1	1	1	1	1	1	1
reads	SRR14722151	1	1	1	1	1	0	1
reads	SRR14722152	1	1	1	0	1	0	1
reads	SRR14722154	1	1	1	1	1	1	1
reads	SRR14722156	1	1	1	1	1	0	0
reads	SRR14722157	1	1	1	1	1	1	1
reads	SRR14722158	1	1	1	1	1	1	1
reads	SRR14722159	1	1	1	1	1	1	1
reads	SRR14722160	1	1	1	1	1	0	0
reads	SRR14722161	1	1	1	1	1	0	0
reads	SRR14722162	1	1	1	1	1	0	1
reads	SRR14722163	1	1	1	1	1	0	1
reads	SRR14722164	1	1	1	1	1	0	1
reads	SRR14722165	1	1	1	1	1	0	1
reads	SRR14722166	1	1	1	1	1	0	1
reads	SRR14722167	1	1	1	1	1	0	0
reads	SRR14722168	1	1	1	1	1	1	1
reads	SRR14722169	1	1	1	1	1	0	1
reads	SRR14722170	1	1	1	1	1	1	1
reads	SRR14722171	1	1	1	1	1	1	1
reads	SRR14722172	1	1	1	1	1	1	1
reads	SRR14722173	1	1	1	1	1	0	1
reads	SRR14722174	1	1	1	1	1	0	1
reads	SRR14722175	1	1	1	1	1	0	1
reads	SRR14722176	1	1	1	1	1	0	1
reads	SRR14722177	1	1	1	1	1	1	1
reads	SRR14722181	1	1	1	1	1	0	0
reads	SRR14722184	1	1	1	1	1	0	1
reads	SRR14722185	1	1	1	1	1	1	0
reads	SRR14722186	1	1	1	1	1	0	1
reads	SRR14722188	1	1	1	1	1	1	1
reads	SRR14722197	1	1	1	1	1	0	0
reads	SRR14722202	1	1	0	0	1	1	1
reads	SRR14722208	1	1	1	1	1	1	1
reads	SRR14722210	1	1	1	1	1	1	1
reads	SRR14722213	1	1	1	1	1	0	0
reads	SRR14722219	1	1	1	1	1	0	0
reads	SRR14722221	1	1	1	1	1	0	1
reads	SRR14722222	1	1	1	1	1	1	1
reads	SRR14722225	1	1	1	0	1	0	1
reads	SRR14722229	1	1	1	1	1	1	1
reads	SRR14722230	1	1	1	1	1	0	0
reads	SRR14722231	1	1	1	1	1	1	1
reads	SRR14722232	1	1	1	1	1	0	1
reads	SRR14722233	1	1	1	1	1	0	1
reads	SRR14722251	1	1	1	1	1	0	0
reads	SRR14722272	1	1	1	1	1	1	1
reads	SRR14722274	1	1	1	1	1	0	1
reads	SRR14722275	1	1	1	1	1	0	1
reads	SRR14722276	1	1	1	0	1	0	1
reads	SRR14722277	1	1	1	1	1	0	1
reads	SRR14722278	1	1	1	1	1	0	1
reads	SRR14722279	1	1	1	1	1	0	1
reads	SRR14722280	1	1	1	1	1	0	0
reads	SRR14722281	1	1	1	1	1	0	0
reads	SRR14722282	1	1	1	1	1	0	0
reads	SRR14722285	1	1	1	1	1	0	0
reads	SRR14722287	1	1	1	1	1	0	0
reads	SRR14722288	1	1	1	1	1	0	0
reads	SRR14722289	1	1	1	1	1	1	1
reads	SRR14722290	1	1	1	1	1	0	0
reads	SRR14722291	1	1	1	1	1	1	1
reads	SRR14722292	1	1	1	1	1	0	1
reads	SRR14722293	1	1	1	1	1	0	1
reads	SRR14722294	1	1	1	1	1	1	1
reads	SRR14722296	1	1	1	1	1	0	0
reads	SRR14722298	1	1	1	1	1	0	1
reads	SRR14722299	1	1	1	1	1	0	1
reads	SRR14722300	1	1	1	1	1	0	1
reads	SRR14722301	1	1	1	1	1	0	0
reads	SRR14722302	1	1	1	1	1	0	0
reads	SRR14722303	1	1	1	1	1	1	1
reads	SRR14722304	1	1	1	1	1	0	0
reads	SRR14722305	1	1	1	1	1	0	1
reads	SRR14722307	1	0	1	1	1	0	0
reads	SRR14722308	1	0	1	1	1	0	0
reads	SRR14722309	1	1	1	1	1	0	0
reads	SRR14722310	1	1	1	1	1	1	1
reads	SRR14722311	1	1	1	1	1	0	1
reads	SRR14722312	1	1	1	1	1	0	0
reads	SRR14722313	1	1	1	1	1	0	0
reads	SRR14722314	1	1	1	1	1	0	0
reads	SRR14722316	1	1	1	1	1	0	1
reads	SRR14722318	1	1	1	1	1	0	0
reads	SRR14722319	1	1	1	1	1	1	0
reads	SRR14722320	1	1	1	1	1	0	1
reads	SRR14722323	1	1	1	1	1	0	1
reads	SRR14722324	1	1	1	1	1	0	1
reads	SRR14722325	1	1	1	1	1	0	0
reads	SRR14722326	1	1	1	1	1	0	1
reads	SRR14722327	1	1	1	1	1	0	0
reads	SRR14722329	1	1	1	1	1	0	1
reads	SRR14722330	1	1	1	1	1	0	0
reads	SRR1531517	1	1	1	1	1	0	0
reads	SRR1531545	1	1	1	1	1	0	1
reads	SRR1531569	1	1	1	1	1	0	1
reads	SRR1532736	1	1	1	1	1	1	1
reads	SRR2387885	1	1	1	1	1	0	0
reads	SRR5808930	1	1	1	1	1	1	1
reads	SRR5808932	1	1	1	1	1	1	1
reads	SRR7232211	1	1	1	0	1	1	1
reads	SRR7232212	1	0	0	0	1	1	1
reads	SRR7232213	1	1	0	0	1	1	1
reads	T1867	1	1	1	1	1	0	0
reads	T1868	1	1	1	1	1	1	0
reads	T1881	1	0	1	0	1	1	1
reads	T1882	1	0	1	1	1	0	1
reads	T1887	1	1	1	1	1	0	0
reads	T1888	1	1	1	1	1	1	1
reads	T1889	1	1	1	1	1	1	1
reads	T1894	1	1	1	1	1	1	1
reads	T1904	1	1	1	1	1	0	1
reads	T1912	1	0	1	1	1	0	0
reads	T1914	1	1	1	1	1	1	1
reads	T1916	1	1	1	1	1	1	1
reads	TS1974	1	1	1	1	1	1	1
reads	VT1	1	1	1	1	1	1	1
reads	VT12	1	1	1	1	1	1	0
reads	VT15	1	1	1	1	1	0	1
reads	VT16	1	1	1	1	1	1	1
reads	VT19	1	1	1	1	1	1	1
reads	VT2	1	1	1	1	1	1	1
reads	VT22	1	1	1	1	1	0	1
reads	VT26	1	1	1	1	1	1	1
reads	VT31	1	0	0	1	1	0	1
reads	VT33	1	1	1	1	1	1	1
reads	VT34	1	0	1	1	1	0	0
reads	VT38	1	1	1	1	1	0	0
reads	X1	1	1	1	1	1	1	1
reads	X10	1	1	1	1	1	1	1
reads	X11	1	1	1	1	1	1	1
reads	X12	1	0	1	0	1	1	1
reads	X13	1	0	1	0	1	0	1
reads	X14	1	1	0	0	1	1	1
reads	X15	1	1	1	1	1	1	1
reads	X16	1	1	1	1	1	1	1
reads	X2	1	0	1	0	1	1	1
reads	X3	1	1	1	1	1	1	1
reads	X4	1	1	1	1	1	0	1
reads	X5	1	1	1	1	1	1	1
reads	X7	1	0	0	0	1	1	1
reads	X8	1	1	1	1	1	1	1
reads	X9	1	1	1	0	1	1	1
assembly	SRR12240185	0	0	0	0	1	0	0
assembly	SRR13125762	0	0	0	0	1	1	0
assembly	SRR13685141	0	0	0	0	1	0	0
assembly	SRR14721945	0	0	0	0	1	0	0
assembly	SRR14721994	0	0	0	0	1	0	0
assembly	SRR14722001	0	0	0	0	1	0	0
assembly	SRR14722012	0	0	0	0	1	0	1
assembly	SRR14722029	0	0	0	0	1	0	0
assembly	SRR14722032	0	0	0	0	1	0	0
assembly	SRR14722040	0	0	0	0	1	0	0
assembly	SRR14722070	0	0	0	0	1	0	0
assembly	SRR14722126	0	0	0	0	1	0	0
assembly	SRR14722146	0	0	0	0	1	0	0
assembly	SRR14722297	0	0	0	0	1	0	0
assembly	SRR14722321	0	0	0	0	1	0	0
assembly	SRR7232214	0	0	0	0	1	1	1
assembly	T1881	0	0	0	0	1	0	1
assembly	VT31	0	0	0	0	1	0	0
assembly	X10	0	0	0	0	1	0	1
assembly	X7	0	0	0	0	1	0	1
reads	SRR12240185	0	0	0	0	1	0	0
reads	SRR13685141	0	0	0	0	1	0	1
reads	SRR13685163	0	0	0	0	1	0	0
reads	SRR14721924	0	0	0	0	1	0	0
reads	SRR14721958	0	0	0	0	1	0	0
reads	SRR14721967	0	0	0	0	1	0	0
reads	SRR14721969	0	0	0	0	1	0	1
reads	SRR14721976	0	0	0	0	1	0	1
reads	SRR14721981	0	0	0	0	1	0	0
reads	SRR14721994	0	0	0	0	1	0	0
reads	SRR14722001	0	0	0	0	1	0	0
reads	SRR14722029	0	0	0	0	1	1	0
reads	SRR14722040	0	0	0	0	1	0	0
reads	SRR14722053	0	0	0	0	1	0	0
reads	SRR14722055	0	0	0	0	1	0	1
reads	SRR14722069	0	0	0	0	1	0	1
reads	SRR14722070	0	0	0	0	1	0	0
reads	SRR14722079	0	0	0	0	1	0	1
reads	SRR14722089	0	0	0	0	1	0	1
reads	SRR14722091	0	0	0	0	1	0	0
reads	SRR14722096	0	0	0	0	0	1	1
reads	SRR14722100	0	0	0	0	1	0	1
reads	SRR14722114	0	0	0	0	1	0	0
reads	SRR14722126	0	0	0	0	1	0	0
reads	SRR14722134	0	0	0	0	1	0	0
reads	SRR14722146	0	0	0	0	1	0	1
reads	SRR14722153	0	0	0	0	0	0	1
reads	SRR14722155	0	0	0	0	1	0	0
reads	SRR14722182	0	0	0	0	1	0	0
reads	SRR14722183	0	0	0	0	1	0	0
reads	SRR14722195	0	0	0	0	1	0	0
reads	SRR14722209	0	0	0	0	1	0	0
reads	SRR14722215	0	0	0	0	1	0	0
reads	SRR14722297	0	0	0	0	1	0	0
reads	SRR14722315	0	0	0	0	1	0	0
reads	SRR14722321	0	0	0	0	1	0	0
reads	SRR14722322	0	0	0	0	1	0	1
reads	SRR7232214	0	0	0	0	1	1	1
