Taxa	total_occ
Bacteria;Proteobacteria;Betaproteobacteria;Unclassified Betaproteobacteria;	245
Eukaryota;Fungi;Basidiomycota;Agaricomycotina;Tremellomycetes	245
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Unclassified Acidimicrobiales	244
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae	241
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Unclassified Micrococcales	240
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI	240
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae	232
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unclassified Burkholderiales	232
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae	222
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae	222
Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae	215
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Unclassified Corynebacteriales	209
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae	209
Bacteria;Actinobacteria;Thermoleophilia;Unclassified Thermoleophilia;	208
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae	206
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	206
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	206
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae	199
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae	198
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae	198
Bacteria;Cyanobacteria;Cyanobacteria;Unclassified Cyanobacteria;	197
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Family Incertae Sedis	197
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae	195
Eukaryota;Metazoa;Arthropoda;Chelicerata;Arachnida	195
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	194
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Patulibacteraceae	192
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Unclassified Streptosporangiales	191
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Orbiliomycetes	189
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;FukuN18 freshwater group	188
Bacteria;Firmicutes;Clostridia;Unclassified Clostridia;	186
Eukaryota;Rhizaria;Cercozoa;Glissomonadida;Heteromita	186
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae	184
Bacteria;Chloroflexi;Unclassified Chloroflexi;;	181
Eukaryota;Fungi;Basidiomycota;Agaricomycotina;Unclassified Agaricomycotina	180
Bacteria;Firmicutes;Bacilli;Bacillales;Unclassified Bacillales	177
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Unclassified Propionibacteriales	176
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae	176
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae	174
Eukaryota;Metazoa;Rotifera;Rotifera;Unclassified Rotifera	173
