Taxa	total_occ
Eukaryota;Fungi;Basidiomycota;Agaricomycotina;Tremellomycetes	53
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Unclassified Acidimicrobiales	51
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae	51
Eukaryota;Alveolata;Apicomplexa;Conoidasida;Gregarinasina	51
Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;Asterochloris magna	51
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Unclassified Micrococcales	50
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	50
Eukaryota;Rhizaria;Cercozoa;Glissomonadida;Heteromita	49
Bacteria;Firmicutes;Clostridia;Clostridiales;Unclassified Clostridiales	48
Bacteria;Actinobacteria;Thermoleophilia;Unclassified Thermoleophilia;	47
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Leotiomycetes	44
Eukaryota;Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes	43
Eukaryota;Rhizaria;Cercozoa;Glissomonadida;Unclassified Glissomonadida	43
Eukaryota;Unikonta;Amoebozoa;Conosa;Myxogastria	43
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;1174-901-12	42
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae	42
Eukaryota;Metazoa;Rotifera;Rotifera;Unclassified Rotifera	42
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Unclassified Ktedonobacterales	41
Bacteria;Acidobacteria;Acidobacteria;DA023;Unclassified DA023	40
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae	40
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	40
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Unclassified Corynebacteriales	39
Eukaryota;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea	39
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae	38
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	37
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Family Incertae Sedis	37
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Chloroflexaceae	36
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Unclassified Rickettsiales	36
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae	35
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Unclassified Propionibacteriales	35
Bacteria;Armatimonadetes;Chthonomonadetes;Chthonomonadales;Chthonomonadaceae	35
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI	35
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae	35
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae	35
Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;Chlorella	35
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae	34
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	33
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae	32
