Taxa	total_occ
Bacteria;Verrucomicrobia;Opitutae;Unclassified Opitutae;	3
Eukaryota;Alveolata;Apicomplexa;Conoidasida;Coccidia	3
Eukaryota;Alveolata;Apicomplexa;Unclassified Apicomplexa;	3
Eukaryota;Alveolata;Dinoflagellata;Unclassified Dinoflagellata;	3
Eukaryota;Excavata;Euglenozoa;Euglenida;Heteronematina	3
Eukaryota;Excavata;Percolozoa;Heterolobosea;Tetramitia	3
Eukaryota;Fungi;Basidiomycota;Pucciniomycotina;Microbotryomycetes	3
Eukaryota;Metazoa;Platyhelminthes;Turbellaria;Rhabdocoela	3
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Asterales	3
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Jungermanniales	3
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Saxifragales	3
Bacteria;Acidobacteria;Acidobacteria;Candidatus Solibacter;bacterium Ellin6505	2
Bacteria;Acidobacteria;Unclassified Acidobacteria;;	2
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae	2
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Unclassified Streptomycetales	2
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae	2
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae	2
Bacteria;Chlorobi;Chlorobia;Chlorobiales;OPB56	2
Bacteria;Chloroflexi;Dehalococcoidetes;Order Incertae Sedis;Family Incertae Sedis	2
Bacteria;Chloroflexi;Ktedonobacteria;JG30-KF-AS9;Chloroflexi bacterium Ellin7237	2
Bacteria;Elusimicrobia;Elusimicrobia;Lineage IIa;actinobacterium YJF1-30	2
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII Incertae Sedis	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae	2
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Unclassified Thermoanaerobacterales	2
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Unclassified Gemmatimonadales	2
Bacteria;Planctomycetes;Planctomycetacia;Unclassified Planctomycetacia;	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Family Incertae Sedis	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Holosporaceae	2
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Unclassified Hydrogenophilales	2
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Phaselicystidaceae	2
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae	2
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Unclassified Syntrophobacterales	2
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Unclassified Chromatiales	2
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Unclassified Enterobacteriales	2
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Unclassified Oceanospirillales	2
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Unclassified Thiotrichales	2
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae	2
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;DA101 soil group	2
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Xiphinematobacteraceae	2
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Unclassified Verrucomicrobiales	2
Eukaryota;Alveolata;Apicomplexa;Conoidasida;Cryptosporida	2
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Klebsormidiales	2
Eukaryota;Archaeplastida;Rhodophyceae;Bangiales;Bangiales	2
Eukaryota;Chromalveolata;Stramenopiles;Bicosoecida;Cafeteriidae	2
Eukaryota;Chromalveolata;Stramenopiles;Chrysophyceae;Chromulinales	2
Eukaryota;Chromalveolata;Stramenopiles;Chrysophyceae;Chrysocapsales	2
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Eurotiomycetes	2
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Orbiliomycetes	2
Eukaryota;Fungi;Basal fungi;Basal fungi;Blastocladiomycota	2
Eukaryota;Metazoa;Annelida;Annelida;Family Incertae Sedis	2
Eukaryota;Metazoa;Arthropoda;Hexapoda;Unclassified Hexapoda	2
Eukaryota;Metazoa;Nematoda;Enoplea;Unclassified Enoplea	2
Eukaryota;Metazoa;Nematoda;Unclassified Nematoda;	2
Eukaryota;Metazoa;Rotifera;Rotifera;Family Incertae Sedis	2
Eukaryota;Rhizaria;Cercozoa;Cercomonadidae;Cercomonas	2
Eukaryota;Rhizaria;Foraminifera;Globothalamea;Rotaliida	2
Eukaryota;Unikonta;Amoebozoa;Conosa;Dictyostelia	2
Eukaryota;Unikonta;Amoebozoa;Conosa;Phalansterium	2
Eukaryota;Unikonta;Amoebozoa;Discosea;Longamoebia	2
Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;Chlorellaceae sp. CCAP 283/3	2
Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;Leptosira obovata	2
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Fagales	2
Bacteria;Acidobacteria;Acidobacteria;Candidatus Solibacter;bacterium Ellin7504	1
Bacteria;Acidobacteria;Acidobacteria;Candidatus Solibacter;Candidatus Solibacter usitatus Ellin6076	1
Bacteria;Acidobacteria;Acidobacteria;DA052;bacterium Ellin7505	1
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Candidatus Microthrix	1
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Cryptosporangiaceae	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Bogoriellaceae	1
Bacteria;Actinobacteria;Thermoleophilia;Thermophilales;Thermoleophilaceae	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae	1
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;cvE6	1
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae	1
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Waddliaceae	1
Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae	1
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Unclassified Anaerolineales	1
Bacteria;Chloroflexi;Chloroflexi;Herpetosiphonales;Unclassified Herpetosiphonales	1
Bacteria;Chloroflexi;Ktedonobacteria;Thermogemmatisporales;Thermogemmatisporaceae	1
Bacteria;Chrysiogenetes;Chrysiogenetes;Chrysiogenales;Chrysiogenaceae	1
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionII;FamilyI	1
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;Unclassified SubsectionIV	1
Bacteria;Deinococcus-Thermus;Deinococci;Unclassified Deinococci;	1
Bacteria;Dictyoglomi;Dictyoglomia;Dictyoglomales;Dictyoglomaceae	1
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Unclassified Fibrobacterales	1
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae	1
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XVII Incertae Sedis	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae	1
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae	1
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;0319-6A21	1
Bacteria;Planctomycetes;Phycisphaerae;Unclassified Phycisphaerae;	1
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Unclassified Caulobacterales	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;P-102	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Prosthecomicrobium pneumaticum	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Candidatus Captivus	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Candidatus Midichloria	1
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae	1
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae	1
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Unclassified Bdellovibrionales	1
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae	1
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Nitrospinaceae	1
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae	1
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfonatronaceae	1
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;GR-WP33-58	1
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;mle1-27	1
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystaceae	1
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sandaracinaceae	1
Bacteria;Proteobacteria;Epsilonproteobacteria;Nautiliales;Unclassified Nautiliales	1
Bacteria;Proteobacteria;Epsilonproteobacteria;Unclassified Epsilonproteobacteria;	1
Bacteria;Proteobacteria;Gammaproteobacteria;34P16;gamma proteobacterium HdN1	1
Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Unclassified Acidithiobacillales	1
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae	1
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae	1
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae	1
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae	1
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae	1
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae	1
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Leptospiraceae	1
Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae	1
Bacteria;Thermotogae;Thermotogae;Thermotogales;Unclassified Thermotogales	1
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae	1
Eukaryota;Alveolata;Apicomplexa;Aconoidasida;Haemosporoidia	1
Eukaryota;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida	1
Eukaryota;Alveolata;Ciliophora;Intramacronucleata;Unclassified Intramacronucleata	1
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae	1
Eukaryota;Alveolata;Protalveolata;Syndiniales;Syndiniales	1
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta	1
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Zygnematales	1
Eukaryota;Archaeplastida;Rhodophyceae;Florideophycidae;Nemaliophycidae	1
Eukaryota;Archaeplastida;Unclassified Archaeplastida;;	1
Eukaryota;Chromalveolata;Cryptophyta;Cryptophyceae;Cryptomonadales	1
Eukaryota;Chromalveolata;Haptophyta;Pavlovophyceae;Diacronema	1
Eukaryota;Chromalveolata;Haptophyta;Pavlovophyceae;Pavlova	1
Eukaryota;Chromalveolata;Haptophyta;Prymnesiophyceae;Prymnesiales	1
Eukaryota;Chromalveolata;Stramenopiles;Chrysophyceae;Ochromonadales	1
Eukaryota;Chromalveolata;Stramenopiles;Diatomea;Coscinodiscophytina	1
Eukaryota;Chromalveolata;Stramenopiles;Peronosporomycetes;Unclassified Peronosporomycetes	1
Eukaryota;Excavata;Euglenozoa;Euglenida;Unclassified Euglenida	1
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Acarosporales	1
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Coryneliales	1
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Dothideales	1
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Incertae Sedis	1
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Mycocaliciales	1
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Pleosporales	1
Eukaryota;Fungi;Ascomycota;Taphrinomycotina;Taphrinales	1
Eukaryota;Fungi;Basal fungi;Basal fungi;Kickxellomycotina	1
Eukaryota;Fungi;Basidiomycota;Basidiomycota;Wallemiales	1
Eukaryota;Fungi;Chytridiomycota;Incertae Sedis;Rozella	1
Eukaryota;Metazoa;Arthropoda;Chelicerata;Unclassified Chelicerata	1
Eukaryota;Metazoa;Arthropoda;Crustacea;Branchiopoda	1
Eukaryota;Metazoa;Arthropoda;Hexapoda;Protura	1
Eukaryota;Metazoa;Bryozoa;Bryozoa;Family Incertae Sedis	1
Eukaryota;Metazoa;Chordata;Craniata;Craniata	1
Eukaryota;Metazoa;Cnidaria;Myxozoa;Myxozoa	1
Eukaryota;Metazoa;Gastrotricha;Gastrotricha;Chaetonotidae	1
Eukaryota;Metazoa;Mollusca;Bivalvia;Heteroconchia	1
Eukaryota;Metazoa;Mollusca;Gastropoda;Caenogastropoda	1
Eukaryota;Metazoa;Mollusca;Gastropoda;Heterobranchia	1
Eukaryota;Metazoa;Nematoda;Chromadorea;Chromadoridae	1
Eukaryota;Metazoa;Nematoda;Chromadorea;Monhysteridae	1
Eukaryota;Metazoa;Nematoda;Chromadorea;Rhabditidae	1
Eukaryota;Metazoa;Platyhelminthes;Trematoda;Digenea	1
Eukaryota;Metazoa;Platyhelminthes;Turbellaria;Seriata	1
Eukaryota;Rhizaria;Cercozoa;Endomyxa;Phytomyxea	1
Eukaryota;Rhizaria;Cercozoa;Glissomonadida;Bodomorpha	1
Eukaryota;Rhizaria;Cercozoa;Silicofilosea;Marimonadida	1
Eukaryota;Rhizaria;Cercozoa;Silicofilosea;Nudifila	1
Eukaryota;Rhizaria;Cercozoa;Silicofilosea;Spongomonadida	1
Eukaryota;Rhizaria;Cercozoa;Silicofilosea;Thaumatomonadida	1
Eukaryota;Rhizaria;Cercozoa;Silicofilosea;Unclassified Silicofilosea	1
Eukaryota;Rhizaria;Foraminifera;Unclassified Foraminifera;	1
Eukaryota;Rhizaria;Unclassified Rhizaria;;	1
Eukaryota;Unikonta;Amoebozoa;Conosa;Protosteliida	1
Eukaryota;Unikonta;Amoebozoa;Conosa;Variosea	1
Eukaryota;Unikonta;Amoebozoa;Discosea;Flabellinia	1
Eukaryota;Unikonta;Amoebozoa;Lobosa;Unclassified Lobosa	1
Eukaryota;Unikonta;Amoebozoa;Unclassified Amoebozoa;	1
Eukaryota;Unikonta;Choanomonada;Craspedida;Unclassified Craspedida	1
Eukaryota;Unikonta;Ichthyosporea;Ichthyophonae;Family Incertae Sedis	1
Eukaryota;Unikonta;Unclassified Unikonta;;	1
Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;Tetracystis sp. BCP-ZNP3-36	1
Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;AN 1-3	1
Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;Diplosphaera sp. L531	1
Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;Stichococcus	1
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Aquifoliales	1
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Dipsacales	1
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Ericales	1
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Magnoliales	1
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Malpighiales	1
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Polytrichales	1
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Sphagnales	1
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta	1
