Species,Taxonomy,Source,ID
Rhodotorula toruloides,Basidiomycota; Pucciniomycotina; Sporidiobolales,Zhu et al. Nat Commun 3 1112 (2012),GCF_000320785.1
Ustilago maydis,Basidiomycota; Ustilaginomycotina; Ustilaginales,Kämper et al. Nature 444 97-101 (2006),GCF_000328475.2
Gloeophyllum trabeum,Basidiomycota; Agaricomycotina; Gloeophyllales,Floudas et al. Science 336 1715-1719 (2012),GCF_000344685.1
Dactylellina haptotyla,Ascomycota; Pezizomycotina; Orbiliomycetes; Orbiliales,Meerupati et al. PLoS Genet. 9 e1003909 (2013),GCF_000441935.1
Endocarpon pusillum,Ascomycota; Pezizomycotina; Eurotiomycetes; Verrucariales,Wang et al. BMC Genomics 15 34 (2014),GCF_000464535.1
Kwoniella mangroviensis,Basidiomycota; Agaricomycotina; Tremellales,Direct submission from The Broad Institute,GCF_000507465.1
Capronia coronata,Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriales,Teixeira et al. Stud Mycol 86 1-28 (2017),GCF_000585585.1
Mixia osmundae,Basidiomycota; Pucciniomycotina; Mixiales,Toome et al. New Phytol 202 554-564 (2014),GCF_000708205.1
Exophiala aquamarina,Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriales,Teixeira et al. Stud Mycol 86 1-28 (2017),GCF_000709125.1
Aureobasidium pullulans var. melanogenum,Ascomycota; Pezizomycotina;Dothideomycetes; Botryosphaeriales,Gostinčar et al. BMC Genomics 15 549 (2014),GCF_000721775.1
Penicillium expansum,Ascomycota; Pezizomycotina; Eurotiales,Ballester et al. Mol Plant Microbe Interact 28 232-248 (2015),GCF_000769745.1
Malassezia pachydermatis,Basidiomycota; Ustilaginomycotina; Malasseziales,Triana et al. Genome Announc 3  e01197 (2015),GCF_001278385.1
Paraconiothyrium sporulosum,Ascomycota; Pezizomycotina;Dothideomycetes; Pleosporales,Zeiner et al. PLoS One 11 e0157844 (2016),GCF_001642045.1
Alternaria alternata,Ascomycota; Pezizomycotina;Dothideomycetes; Pleosporales,Zeiner et al. PLoS One 11 e0157844 (2016),GCF_001642055.1
Kockovaella imperatae,Basidiomycota; Agaricomycotina; Tremellales,Mondo et al. Nature Genet 49 964 (2017),GCF_002102565.1
Bathycoccus prasinos,Chlorophyta; Mamiellophyceae,Espagne et al. Genome Biol 9 R77 (2008),GCF_002220235.1
Rhizopus microsporus,Mucoromycota; Mucoromycotina; Mucorales,Lastovetsky et al. Proc Natl Acad Sci U S A 113 15102-15107 (2016),GCF_002708625.1
Cercospora beticola,Ascomycota; Pezizomycotina; Capnodiales,De Jonge et al. Proc Natl Acad Sci U S A 115 E5459-5466 (2018),GCF_002742065.1
Aplosporella prunicola,Ascomycota; Pezizomycotina;Dothideomycetes; Botryosphaeriales,Haridas et al. Stud Mycol 96 141-153 (2020),GCF_010093885.1
