Lichen.metagenomes	Source	Produced	Run	Batch	architecture	family	order	class	photobiont	bacteria_other	mycobiont	fungi_other	photobiont_chloro	algae_other	photobiont_cyano	cephalodia_cyano	mycobiont_missassigned	cypho	tremella	mycobiont_all	depth
Acarospora sp. Tripp_6053_NY-2858381	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722090	second	crust	Acarosporaceae Zahlbr.	Acarosporales	Lecanoromycetes	trebouxioid	60.043961171	48.66376282	0	0	0	0	0	0	0	0	48.66376282	2705046012
Chrysothrix susquehannensis	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722092	second	crust		Arthoniales	Arthoniomycetes	trebouxioid	7.565973852	0	0	0	0	0	0	6.448717043	0	0	6.448717043	1273068920
Umbilicaria papulosa	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722095	second	macro		Umbilicariales	Lecanoromycetes	trebouxioid	58.178272823	31.15683579	0	0	0	0	0	0	0	0	31.15683579	2377912666
Acarospora sinopica	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722098	second	crust	Acarosporaceae Zahlbr.	Acarosporales	Lecanoromycetes	trebouxioid	43.150681251	3.159179333	29.393638785	0	0	0	0	0	0	0	3.159179333	2400755946
Cladonia strepsilis	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722101	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	trebouxioid	28.154399348	22.66054957	0	0	0	0	0	0	0	0	22.66054957	1608475254
Flavoparmelia baltimorensis	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722106	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	26.101654751	12.78226088	3.216949314	0	0	0	0	0	0	0	12.78226088	1825538056
Bryoria tenuis	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722118	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	52.031166185	8.78856951	0	0	0	0	0	0	0	0	8.78856951	904833072
Lecidella sp. Lendemer_46226_NY-2606722	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722128	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	trebouxioid	45.439051478	15.08719564	0	0	0	0	0	0	0	0	15.08719564	5671217532
Pseudevernia cladonia	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722129	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	30.621194083	17.41372307	0	0	0	0	0	0	0	0	17.41372307	1332706672
Anzia colpodes	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722132	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	39.577786907	9.133829435	0	0	0	0	0	0	0	0	9.133829435	2833612546
Heterodermia hypoleuca	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722133	second	macro	Physciaceae	Caliciales	Lecanoromycetes	trebouxioid	27.403721597	14.6079258	0	0	0	0	0	0	0	0	14.6079258	3761583348
Mycocalicium subtile	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722135	second	crust		Mycocaliciales	Eurotiomycetes	absent	12.466008268	4.842035849	19.1823987	8.03509301	0	0	0	0	0	0	4.842035849	2549242702
Parmotrema cetratum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722139	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	29.778832568	13.93838113	0	0	0	0	0	0	0	0	13.93838113	3225231348
Platismatia tuckermanii	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722140	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	34.069107465	15.88343007	0	0	0	0	0	0	0	0	15.88343007	1728674878
Zwackhia viridis	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722143	second	crust		Arthoniales	Arthoniomycetes	trentepohlioid	65.033827379	12.32966298	0	0	0	0	0	0	0	0	12.32966298	3066559944
Leptogium chloromelum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722145	second	macro		Peltigerales	Lecanoromycetes	cyano	42.659687238	12.74378714	0	0	0	40.40285972	0	0	0	0	12.74378714	3367211212
Lecanora strobilina	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722154	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	trebouxioid	61.997584801	31.39782056	5.359976832	2.871329952	0	0	0	0	0	0	31.39782056	2645645632
Melanelia stygia	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722156	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	51.124781583	8.661665701	11.124058546	0	0	0	0	0	0	0	8.661665701	2739296436
Leptogium austroamericanum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722161	second	macro		Peltigerales	Lecanoromycetes	cyano	19.247668703	11.08690216	0	0	0	23.14710747	0	0	0	0	11.08690216	3248286632
Rhizocarpon subgeminatum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722165	second	crust		Rhizocarpales	Lecanoromycetes	trebouxioid	47.317302718	41.25160977	16.961220778	0	0	0	0	0	0	0	41.25160977	3570968498
Punctelia appalachiensis	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722169	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	20.566675702	18.61074241	0	0	0	0	0	0	0	0	18.61074241	3391945314
Cladonia rangiferina	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722170	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	trebouxioid	47.227166203	32.14693562	0	0	0	0	0	0	0	0	32.14693562	2876458192
Melanohalea halei	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722173	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	16.347471153	15.79710563	0	0	0	0	0	0	0	0	15.79710563	2278285886
Xanthocarpia feracissima	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722176	second	crust		Teloschistales	Lecanoromycetes	trebouxioid	119.719196499	37.5919958	4.133392654	0	0	0	0	0	0	0	37.5919958	4742255264
Xylographa vitiligo	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722188	second	crust		Baeomycetales	Lecanoromycetes	trebouxioid	124.661078363	40.56852629	26.419568581	10.652189956	0	0	0	0	0	0	40.56852629	7175223436
Lecidea roseotincta	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722229	second	crust		Lecideales	Lecanoromycetes	trebouxioid	77.889766918	0	0.782431088	0	0	0	0	26.7847606	0	0	26.7847606	3274847230
Coccocarpia palmicola	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722230	second	macro		Peltigerales	Lecanoromycetes	cyano	51.1838263	14.41593739	0	0	0	42.32784021	0	0	0	0	14.41593739	3408952142
Lecanora masana	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722231	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	trebouxioid	56.157426313	55.90449884	0	0	0	0	0	0	0	0	55.90449884	4201317394
Micareopsis irriguata	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722275	second	crust	Pilocarpaceae	Lecanorales	Lecanoromycetes	trebouxioid	53.194818505	8.912744824	0	0	0	0	0	0	0	0	8.912744824	1516342604
Dictyomeridium proponens	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722280	second	crust		Trypetheliales	Dothideomycetes	trentepohlioid	15.35579774	14.41564749	0	0	0	0	0	0	0	0	14.41564749	1604343592
Cladonia ravenelii	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722296	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	trebouxioid	11.632190653	9.15115019	0	0	0	0	0	0	0	0	9.15115019	1697605722
Cladonia subtenuis	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722298	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	trebouxioid	29.276640655	15.83158057	0	0	0	0	0	0	0	0	15.83158057	1804158872
Cladonia squamosa	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722299	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	trebouxioid	47.492108983	40.65134593	0	0	0	0	0	0	0	0	40.65134593	2773612998
Micareopsis irriguata	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722304	second	crust	Pilocarpaceae	Lecanorales	Lecanoromycetes	trebouxioid	14.507204242	12.97687903	0	0	0	0	0	0	0	0	12.97687903	1610200580
Lecanora markjohnstonii	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722309	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	trebouxioid	28.021071222	17.40084365	0	0	0	0	0	0	0	0	17.40084365	1625514094
Peltigera dolichorhiza	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	SRR11456918	third	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	cyano	101.766400515	74.49129638	0	0	0	164.2090158	0	0	0	0	74.49129638	12580023514
Peltigera hydrothyria	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	SRR11456922	third	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	cyano	204.06923795	33.39007385	0	0	0	516.90088694	0	0	0	0	33.39007385	17025986880
Peltigera hydrothyria	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	SRR11456923	third	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	cyano	90.548232024	30.46815292	0	0	0	257.2448453	0	0	0	0	30.46815292	12708455960
Xanthoparmelia aff mexicana	Smith et al. 2020	Brigham Young University	SRR12240179	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	26.64438642	21.37519816	0	0	0	0	0	0	0	0	21.37519816	1772170559
Rinodina sp	Smith et al. 2020	Brigham Young University	SRR12240181	third	crust	Physciaceae	Caliciales	Lecanoromycetes	trebouxioid	37.389049911	23.74477687	0	0	0	0	0	0	0	0	23.74477687	1669402964
Oxnerella safavidiorum	Smith et al. 2020	Brigham Young University	SRR12240184	third	crust	Physciaceae	Caliciales	Lecanoromycetes	trebouxioid	44.583138852	5.264245621	0	0	0	0	0	0	0	0	5.264245621	1500967204
Pectenia plumbea	This paper	Spribille Lab, University of Alberta	X4	third	macro	Pannariaceae	Peltigerales	Lecanoromycetes	cyano	116.713372353	75.28130756	0	0	0	384.8270002	0	0	0	0	75.28130756	13287338000
Umbilicaria americana	This paper	Spribille Lab, University of Alberta	X16	third	macro		Umbilicariales	Lecanoromycetes	trebouxioid	516.661540057	83.766483	0	0	0	0	0	0	0	0	83.766483	10450703250
Pseudophebe minuscula	This paper	Spribille Lab, University of Alberta	VT22	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	184.117360282	29.87504397	0	0	0	0	0	0	0	0	29.87504397	4681562626
Platismatia glauca	This paper	Spribille Lab, University of Alberta	VT1	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	109.092930378	86.77040165	0	5.312030276	0	0	0	0	0	0	86.77040165	5900310202
Gypsoplaca macrophylla	This paper	Spribille Lab, University of Alberta	VT34	third	crust	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	118.764034108	70.69010975	0	0	0	0	0	0	0	0	70.69010975	5154969068
Xanthoparmelia verrucella	Grewe et al 2020	Field Museum of Natural History	SRR13126859	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	44.095781471	41.87828557	0	0	0	0	0	0	0	0	41.87828557	2876909202
Xanthoparmelia stenophylla	Grewe et al 2020	Field Museum of Natural History	SRR13126796	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	16.735682586	7.492159984	0	0	0	0	0	0	0	0	7.492159984	787429291
Lobaria pulmonaria	Wicaksono et al 2020	GRAZ UNIVERSITY OF TECHNOLOGY	ERR4179390	third	macro	Lobariaceae	Peltigerales	Lecanoromycetes	trebouxioid_cyano	989.915716783	294.7762736	12.03065832	59.008695911	0	0	0	0	0	0	294.7762736	34830147881
Cladonia furcata	Wicaksono et al 2020	GRAZ UNIVERSITY OF TECHNOLOGY	ERR4179389	third	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	trebouxioid	166.097995494	42.31258285	0	0	0	0	0	0	0	0	42.31258285	10693128900
