bin,median_cov
cov_private_T1904_concoct_bin.38.fa,41.0
cov_private_T1904_metabat2_bin.21.fa,423.0
cov_private_T1904_metawrap_bin.1.fa,356.0
cov_private_T1904_metawrap_bin.2.fa,8.0
cov_private_T1904_metawrap_bin.3.fa,37.0
cov_private_T1904_metawrap_bin.4.fa,20.0
cov_private_T1904_metawrap_bin.5.fa,10.0
cov_private_T1904_metawrap_bin.6.fa,85.0
cov_private_T1904_metawrap_bin.7.fa,7.0
cov_private_T1904_metawrap_bin.8.fa,19.0
cov_private_T1912_concoct_bin.0.fa,8.0
cov_private_T1912_concoct_bin.14.fa,174.0
cov_private_T1914_concoct_bin.18.fa,19.0
cov_private_T1914_concoct_bin.19.fa,8.0
cov_private_T1914_metabat2_bin.5.fa,196.0
cov_private_T1914_metawrap_bin.1.fa,5.0
cov_private_T1914_metawrap_bin.2.fa,12.0
cov_private_T1914_metawrap_bin.3.fa,18.0
cov_private_T1914_metawrap_bin.4.fa,18.0
cov_private_T1916_concoct_bin.29.fa,334.0
cov_private_T1916_metawrap_bin.10.fa,11.0
cov_private_T1916_metawrap_bin.11.fa,8.0
cov_private_T1916_metawrap_bin.12.fa,18.0
cov_private_T1916_metawrap_bin.13.fa,9.0
cov_private_T1916_metawrap_bin.14.fa,22.0
cov_private_T1916_metawrap_bin.15.fa,7.0
cov_private_T1916_metawrap_bin.16.fa,6.0
cov_private_T1916_metawrap_bin.1.fa,14.0
cov_private_T1916_metawrap_bin.2.fa,54.0
cov_private_T1916_metawrap_bin.3.fa,10.0
cov_private_T1916_metawrap_bin.4.fa,11.0
cov_private_T1916_metawrap_bin.5.fa,16.0
cov_private_T1916_metawrap_bin.6.fa,19.0
cov_private_T1916_metawrap_bin.7.fa,7.0
cov_private_T1916_metawrap_bin.8.fa,10.0
cov_private_T1916_metawrap_bin.9.fa,10.0
cov_private_TS1974_concoct_bin.10.fa,88.0
cov_private_TS1974_concoct_bin.29.fa,26.0
cov_private_TS1974_metawrap_bin.10.fa,8.0
cov_private_TS1974_metawrap_bin.12.fa,120.0
cov_private_TS1974_metawrap_bin.13.fa,7.0
cov_private_TS1974_metawrap_bin.1.fa,15.0
cov_private_TS1974_metawrap_bin.2.fa,11.0
cov_private_TS1974_metawrap_bin.3.fa,126.0
cov_private_TS1974_metawrap_bin.4.fa,23.0
cov_private_TS1974_metawrap_bin.5.fa,136.0
cov_private_TS1974_metawrap_bin.6.fa,39.0
cov_private_TS1974_metawrap_bin.7.fa,7.0
cov_private_TS1974_metawrap_bin.8.fa,34.0
cov_private_TS1974_metawrap_bin.9.fa,63.0
cov_private_VT12_concoct_bin.10.fa,88.0
cov_private_VT12_metawrap_bin.1.fa,9.0
cov_private_VT12_metawrap_bin.2.fa,8.0
cov_private_VT15_metabat2_bin.1.fa,88.0
cov_private_VT15_metawrap_bin.1.fa,10.0
cov_private_VT15_metawrap_bin.2.fa,7.0
cov_private_VT16_concoct_bin.11.fa,63.0
cov_private_VT16_metawrap_bin.1.fa,18.0
cov_private_VT16_metawrap_bin.2.fa,5.0
cov_private_VT16_metawrap_bin.3.fa,5.0
cov_private_VT16_metawrap_bin.4.fa,25.0
cov_private_VT16_metawrap_bin.5.fa,4.0
cov_private_VT19_concoct_bin.7.fa,120.0
cov_private_VT19_metawrap_bin.1.fa,6.0
cov_private_VT1_metabat2_bin.10.fa,80.0
cov_private_VT1_metawrap_bin.1.fa,44.0
cov_private_VT1_metawrap_bin.2.fa,11.0
cov_private_VT1_metawrap_bin.3.fa,21.0
cov_private_VT22_concoct_bin.7.fa,22.0
cov_private_VT22_metawrap_bin.10.fa,7.0
cov_private_VT22_metawrap_bin.11.fa,18.0
cov_private_VT22_metawrap_bin.12.fa,12.0
cov_private_VT22_metawrap_bin.1.fa,4.0
cov_private_VT22_metawrap_bin.2.fa,5.0
cov_private_VT22_metawrap_bin.3.fa,7.0
cov_private_VT22_metawrap_bin.4.fa,25.0
cov_private_VT22_metawrap_bin.5.fa,6.0
cov_private_VT22_metawrap_bin.6.fa,23.0
cov_private_VT22_metawrap_bin.7.fa,9.0
cov_private_VT22_metawrap_bin.8.fa,7.0
cov_private_VT22_metawrap_bin.9.fa,9.0
cov_private_VT26_concoct_bin.9.fa,85.0
cov_private_VT26_metawrap_bin.1.fa,20.0
cov_private_VT26_metawrap_bin.2.fa,10.0
cov_private_VT26_metawrap_bin.3.fa,18.0
