genome,cluster,score
public_SRR14722013_metabat2_bin.2.fa,45_0,95.22280313679916
public_SRR14722177_concoct_bin.11.fa,46_0,95.2864314071463
public_SRR14722177_concoct_merged.0.fa,47_0,69.77999027883916
public_SRR14722185_metabat2_bin.2.fa,48_0,95.6280823771614
private_T1867_concoct_bin.8.fa,49_1,98.64419509258626
public_SRR14722188_metabat2_bin.25.fa,49_2,92.98762860847712
private_T1889_concoct_bin.13.fa,49_3,100.40949631610302
public_SRR14722051_metabat2_bin.4.fa,50_0,95.17100499967103
public_ERR4179390_metabat2_bin.28.fa,51_1,95.97450981896574
public_SRR14722019_concoct_merged.0.fa,51_2,84.76471984228358
public_SRR14722112_metabat2_bin.8.fa,52_0,96.60905657324358
public_SRR14722113_metabat2_bin.5.fa,53_1,94.91982915059323
public_SRR14722130_metabat2_bin.11.fa,54_0,90.21924608357497
public_SRR14722154_concoct_bin.10.fa,55_0,59.5536486014018
private_T1888_metabat2_bin.52.fa,56_1,99.02900893523238
private_T1904_concoct_bin.11.fa,56_2,82.67736396604109
public_SRR14722165_concoct_bin.24.fa,57_0,100.45265418393207
public_SRR14721968_concoct_bin.6.fa,58_0,82.14268059797631
public_SRR14722176_concoct_bin.30.fa,59_0,69.7086980143965
public_SRR14721937_metabat2_bin.4.fa,60_1,97.66303965578444
public_SRR14722308_metabat2_bin.6.fa,61_0,90.20768320332334
public_SRR12240185_concoct_bin.1.fa,62_0,91.43611390023442
public_SRR14721991_concoct_merged.0.fa,63_0,91.29432628681656
public_SRR13685140_metabat2_bin.1.fa,64_0,91.45359668092397
public_SRR14722176_metabat2_bin.14.fa,65_1,97.02106732661083
public_SRR14722054_metabat2_bin.5.fa,66_1,88.91237434346091
public_SRR12240182_metabat2_bin.7.fa,66_2,101.69898306164097
public_SRR14722141_concoct_bin.2.fa,66_3,95.25603895674493
public_SRR14722036_metabat2_bin.1.fa,66_4,94.06767023831364
public_SRR14722072_concoct_merged.0.fa,67_0,86.75100786990886
private_GTX0163_concoct_bin.14.fa,68_1,101.57972343166402
public_SRR14722005_metabat2_bin.1.fa,68_2,92.78285702947042
public_SRR14722305_metabat2_bin.2.fa,68_3,94.004379896476
public_SRR14722144_metabat2_bin.3.fa,68_4,94.62277019962487
public_SRR14722047_metabat2_bin.3.fa,68_5,86.39584632089901
public_SRR14722017_metabat2_bin.2.fa,68_6,96.5303063954951
public_SRR14722133_metabat2_bin.2.fa,68_7,94.79047669905205
public_SRR14721922_metabat2_bin.4.fa,68_8,94.79808149015956
public_SRR14722316_metabat2_bin.4.fa,68_9,94.05942653820485
public_SRR12240181_metabat2_bin.5.fa,69_1,95.91015279475849
public_SRR12240184_concoct_bin.17.fa,69_2,76.9092449111021
private_GTX0158_concoct_bin.31.fa,70_1,102.93395856717244
public_SRR14722181_concoct_bin.15.fa,70_2,99.49082131979301
private_X4_concoct_bin.17.fa,71_1,91.96828907801712
private_X5_concoct_bin.21.fa,71_2,94.14566052714468
private_T1868_concoct_bin.12.fa,72_0,101.7149977564152
private_X13_concoct_bin.5.fa,73_0,100.92711930983631
private_T1882_concoct_bin.24.fa,74_0,101.64930242926413
public_SRR14722090_metabat2_bin.14.fa,75_0,90.24678992833951
private_T1887_metabat2_bin.36.fa,76_0,94.0642636120343
private_T1888_metabat2_bin.51.fa,77_0,101.35339259258775
public_SRR14722135_concoct_merged.1.fa,78_0,90.21252907558603
public_SRR14721960_metabat2_bin.2.fa,79_1,94.99489993015925
public_SRR14721964_metabat2_bin.3.fa,80_0,88.35296929491328
public_SRR14722050_metabat2_bin.2.fa,81_0,87.16260279301753
public_SRR14722064_metabat2_bin.6.fa,82_0,89.82458671071274
public_SRR14722157_metabat2_bin.4.fa,83_0,91.32210934336962
public_SRR14722164_metabat2_bin.2.fa,84_0,85.66293058689422
public_SRR14721941_concoct_bin.5.fa,85_1,86.07444017120682
public_SRR14722049_concoct_bin.8.fa,85_2,86.8532741769207
public_SRR14721948_concoct_merged.0.fa,85_3,93.19675348688916
public_SRR14722065_metabat2_bin.6.fa,86_0,91.36469024765597
public_SRR14722160_concoct_bin.3.fa,87_1,98.57583570363667
public_SRR14722061_metabat2_bin.1.fa,88_0,92.50497186784247
public_SRR14722086_metabat2_bin.14.fa,89_0,100.95384835497093
public_SRR14722309_metabat2_bin.1.fa,90_1,95.05884912678262
