Genome	bac_family	bac_order	bac_phylum	hdbscan	kmeans	apcluster
public_SRR11456913_metawrap_bin.6	Acetobacteraceae	Acetobacterales	Proteobacteria	4	12	2
public_SRR11456913_metawrap_bin.8	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota	6	7	6
public_SRR11456914_metawrap_bin.11	UBA10450	Chthoniobacterales	Verrucomicrobiota	8	5	7
public_SRR11456914_metawrap_bin.12	Acetobacteraceae	Acetobacterales	Proteobacteria	4	12	2
public_SRR11456914_metawrap_bin.13	Microbacteriaceae	Actinomycetales	Actinobacteriota	6	7	6
public_SRR11456914_metawrap_bin.14	Deinococcaceae	Deinococcales	Deinococcota	0	3	16
public_SRR11456914_metawrap_bin.15	Armatimonadaceae	Armatimonadales	Armatimonadota	5	8	14
public_SRR11456914_metawrap_bin.17	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota	6	7	6
public_SRR11456914_metawrap_bin.18	Spirosomaceae	Cytophagales	Bacteroidota	9	11	4
public_SRR11456914_metawrap_bin.19	UBA6265	Thermomicrobiales	Chloroflexota	0	7	6
public_SRR11456914_metawrap_bin.2	Burkholderiaceae	Burkholderiales	Proteobacteria	4	12	10
public_SRR11456914_metawrap_bin.20	Chitinophagaceae	Chitinophagales	Bacteroidota	9	11	4
public_SRR11456914_metawrap_bin.21	Capsulimonadaceae	Armatimonadales	Armatimonadota	5	8	14
public_SRR11456914_metawrap_bin.24	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	10	11
public_SRR11456914_metawrap_bin.7	Fimbriimonadaceae	Fimbriimonadales	Armatimonadota	5	8	14
public_SRR11456914_metawrap_bin.8	Propionibacteriaceae	Propionibacteriales	Actinobacteriota	6	7	6
public_SRR11456914_metawrap_bin.9	Caulobacteraceae	Caulobacterales	Proteobacteria	4	13	11
public_SRR11456915_metawrap_bin.3	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR11456915_metawrap_bin.4	CAJCIY01	Mycobacteriales	Actinobacteriota	6	7	6
public_SRR11456915_metawrap_bin.5	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
public_SRR11456915_metawrap_bin.8	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota	6	7	6
public_SRR11456915_metawrap_bin.9	UBA10450	Chthoniobacterales	Verrucomicrobiota	8	5	7
public_SRR11456918_metawrap_bin.2	Microbacteriaceae	Actinomycetales	Actinobacteriota	6	7	6
public_SRR11456918_metawrap_bin.3	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR11456918_metawrap_bin.7	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
public_SRR11456918_metawrap_bin.8	Propionibacteriaceae	Propionibacteriales	Actinobacteriota	6	7	6
public_SRR11456919_metawrap_bin.1	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
public_SRR11456919_metawrap_bin.13	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	12	2
